gross_delta,delta,iota,kappa,lambda,sigmah,sigmal,mu_b,m,c,p,vb,debt_diff,eq_deriv,eq_deriv_min_val,eq_min_val,eq_negative,eq_vb,abs_debt_diff,debt_per_diff,abs_debt_per_diff,debt,equity,firm_value,leverage,ROE,V0,r,alpha,pi,xi
0.02,0.02,0.0,0.001,0.3,0.3,0.15,1.0,1.0,8.5,66.24809454629674,50.29768012998996,1.4981400307801636,-1.1915296002623472,-1.1915296002623472,-0.88968440225149,true,0.0,1.4981400307801636,0.022614084843349043,0.022614084843349043,67.7462345770769,39.23836127922876,106.98459585630567,63.32335420331818,21.65513317506067,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.001,0.3,0.3,0.15,1.0,1.0,8.5,66.24809454629674,53.84784583499068,1.525638016561274,-1.820878423905365,-1.820878423905365,-2.1850045892962053,true,0.0,1.525638016561274,0.023029160717899573,0.023029160717899573,67.77373256285802,39.370569806976555,107.14430236983458,63.25463049721536,22.16918972626811,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.001,0.3,0.3,0.15,1.0,1.0,8.5,66.24809454629674,57.398011539991394,1.525638016561274,-2.0872459251664512,-2.0872459251664512,-3.1772469378645267,true,0.0,1.525638016561274,0.023029160717899573,0.023029160717899573,67.77373256285802,39.14596109524408,106.91969365810209,63.38751098518725,21.472215706020272,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.001,0.3,0.3,0.15,1.0,1.0,8.5,66.24809454629674,60.94817724499212,1.525638016561274,-2.066919324383544,-2.066919324383544,-3.344308339635638,true,0.0,1.525638016561274,0.023029160717899573,0.023029160717899573,67.77373256285802,38.74205024369382,106.51578280655184,63.62787821401545,20.218856618319215,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.001,0.3,0.3,0.15,1.0,1.0,8.5,66.24809454629674,64.49834294999283,1.521962430643086,-1.771529944435738,-1.771529944435738,-2.5966853165716484,true,0.0,1.521962430643086,0.02297367857998511,0.02297367857998511,67.77005697693983,38.18885523926745,105.95891221620727,63.9588077675394,18.488745735429113,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.001,0.3,0.3,0.15,1.0,1.0,8.5,66.24809454629674,68.04850865499355,1.4396546473860354,-1.1558577801596464,-1.1558577801596464,-1.2328659541403104,true,0.0,1.4396546473860354,0.021731261212048127,0.021731261212048127,67.68774919368278,37.477531914617906,105.16528110830069,64.36320854215849,15.985519360015733,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.001,0.3,0.3,0.15,1.0,1.0,8.5,66.24809454629674,71.59867435999426,1.2220637619823833,-0.3796167872708346,-0.3796167872708346,-0.15278503671336838,true,0.0,1.2220637619823833,0.018446776022038758,0.018446776022038758,67.47015830827912,36.571023072348694,104.04118138062782,64.84947346132488,12.422997378608013,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.001,0.3,0.3,0.15,1.0,1.0,8.5,66.24809454629674,75.14884006499499,0.9195723954284176,0.392511129197012,0.392511129197012,0.0544353578355899,false,0.0,0.9195723954284176,0.013880737275934552,0.013880737275934552,67.16766694172516,35.3957717138393,102.56343865556445,65.48889918491541,7.807665239672601,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.001,0.3,0.3,0.15,1.0,1.0,8.5,66.24809454629674,78.6990057699957,0.4748349190312524,1.083351969046765,1.003037182283014,0.14792780219260424,false,0.0,0.4748349190312524,0.0071675256818053736,0.0071675256818053736,66.722929465328,33.839534701086016,100.562464166414,66.34973597595297,1.6902454374040143,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.001,0.3,0.3,0.15,1.0,1.0,8.5,66.24809454629674,82.24917147499642,-0.11791035501020986,1.708731712014454,1.003037244674855,0.23740945232189442,false,0.0,0.11791035501020986,-0.001779830134251024,0.001779830134251024,66.13018419128653,31.815842665009317,97.94602685629584,67.5169645097613,-6.064317430317234,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.001,0.3,0.3,0.15,1.0,1.0,8.5,66.24809454629674,85.79933717999714,-0.7091674786515227,2.283097515345818,1.0030373312504195,0.32402182284139225,false,0.0,0.7091674786515227,-0.01070472265667851,0.01070472265667851,65.53892706764522,29.171073815325087,94.7100008829703,69.19958447538109,-15.35065123309909,100.0,0.08,0.6,0.27,1.0
