gross_delta,delta,iota,kappa,lambda,sigmah,sigmal,mu_b,m,c,p,vb,debt_diff,eq_deriv,eq_deriv_min_val,eq_min_val,eq_negative,eq_vb,abs_debt_diff,debt_per_diff,abs_debt_per_diff,debt,equity,firm_value,leverage,ROE,V0,r,alpha,pi,xi,opt
0.02,0.02,0.0,0.0025,0.1,0.3,0.15,1.0,1.0,2.5,29.10613692948242,32.3524770896516,0.045876226158533484,-7.737612091850143e-16,-0.0006053697387785102,0.005309801657191139,false,-5.341205963866286e-8,0.045876226158533484,0.001576170216943636,0.001576170216943636,29.152013155640955,76.85742307847534,106.0094362341163,27.499451172686417,8.482155247852008,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.0025,0.1,0.3,0.15,1.0,1.0,2.5,29.585049294403124,32.91041194439215,0.02100146636268363,5.697550179047106e-16,0.0024474630899449933,0.006184104234153811,false,-4.354142955096154e-8,0.02100146636268363,0.0007098675467360695,0.0007098675467360695,29.606050760765807,76.32427664755951,105.93032740832533,27.948606867459745,8.424484593371906,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.0025,0.1,0.3,0.15,1.0,1.0,2.5,30.002789571231624,33.39720005958018,-5.741842788210827e-8,-1.050386444966335e-16,0.0026845368991412154,0.006811610889674509,false,-9.428605848659555e-8,5.741842788210827e-8,-3.7989121128359504e-9,3.7989121128359504e-9,30.002789513813195,75.85725625533266,105.86004576914586,28.34193892116931,8.371827574903534,100.0,0.08,0.6,0.27,1.0,true
0.02,0.02,0.0,0.0025,0.1,0.3,0.15,1.0,1.0,2.5,30.063961659323827,33.46847704467613,-0.003024956818947544,-1.9239167550755276e-16,0.0026795768494978227,0.006897233074055931,false,-5.678900228023422e-8,0.003024956818947544,-0.00010061737216224147,0.00010061737216224147,30.06093670250488,75.78884273134469,105.84977943384956,28.39962148555194,8.364108922887258,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.0025,0.1,0.3,0.15,1.0,1.0,2.5,30.542874024244526,34.026430711050494,-0.026256596716930147,-3.0517580650035736e-16,0.0028830553281308843,0.007557533627714795,false,5.155842244624276e-7,0.026256596716930147,-0.0008596635894869622,0.0008596635894869622,30.516617427527596,75.25330612501749,105.76992355254508,28.85188568030623,8.304033768832353,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.0025,0.1,0.3,0.15,1.0,1.0,2.5,31.02178638916523,34.584435597241686,-0.04862592184828429,-1.0585878961605344e-16,0.0030890102473682575,0.008264872891669673,false,5.932365907758061e-7,0.04862592184828429,-0.0015674765224116024,0.0015674765224116024,30.973160467316944,74.71688813960463,105.69004860692158,29.30565448267618,8.243240811028919,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.0025,0.1,0.3,0.15,1.0,1.0,2.5,31.50069875408593,35.142443958423,-0.07017254704710041,1.2965431679667905e-15,0.003267826642205846,0.008975258819825149,false,6.720950433260279e-7,0.07017254704710041,-0.0022276504910227865,0.0022276504910227865,31.43052620703883,74.17972997167146,105.6102561787103,29.760865416189407,8.181856835667034,100.0,0.08,0.6,0.27,1.0,false
