gross_delta,delta,iota,kappa,lambda,sigmah,sigmal,mu_b,m,c,p,vb,debt_diff,eq_deriv,eq_deriv_min_val,eq_min_val,eq_negative,eq_vb,abs_debt_diff,debt_per_diff,abs_debt_per_diff,debt,equity,firm_value,leverage,ROE,V0,r,alpha,pi,xi,opt
0.02,0.02,0.0,0.0025,0.1,0.225,0.15,1.0,7.0,10.0,4.726897689768976,89.6801319415819,135.47605663089632,-0.3105481856277002,-0.3105481856277002,-0.09444166796146419,true,0.0,135.47605663089632,4.0943814835959,4.0943814835959,168.56434045927915,12.965772348733191,181.53011280801235,92.85750879114701,-118.91037274169311,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.0025,0.1,0.225,0.15,1.0,7.0,10.0,5.044182049783925,89.76702511282544,137.31983014364508,-0.29289275105357504,-0.29289275105357504,-0.0844323929062036,true,0.0,137.31983014364508,3.8890584039863563,3.8890584039863563,172.62910449213254,12.876055318895597,185.50515981102814,93.05892335716577,-117.728506235803,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.0025,0.1,0.225,0.15,1.0,7.0,10.0,5.361466409798874,89.8538925443507,139.31022075757855,-0.2658822245836042,-0.2658822245836042,-0.06923868532108883,true,0.0,139.31022075757855,3.7119434473845887,3.7119434473845887,176.84048562617068,12.86541899615235,189.70590462232303,93.21822954231945,-116.7430214571296,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.0025,0.1,0.225,0.15,1.0,7.0,10.0,5.678750769813822,89.94081084550169,141.27089823338497,-0.2261724104307034,-0.2261724104307034,-0.04999201119139227,true,0.0,141.27089823338497,3.553872622436857,3.553872622436857,181.02215362208173,12.949731392488795,193.97188501457052,93.32391320963033,-115.98295134549407,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.0025,0.1,0.225,0.15,1.0,7.0,10.0,5.996035129828772,90.02764118784053,143.04796894709352,-0.18849898229674955,-0.18849898229674955,-0.03381993813508653,true,0.0,143.04796894709352,3.4081561720073923,3.4081561720073923,185.02021485589492,13.038553842196814,198.05876869809174,93.41682575939268,-115.33582791374559,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.0025,0.1,0.225,0.15,1.0,7.0,10.0,6.31331948984372,90.11453542213565,144.5459645065709,-0.14273999289743777,-0.14273999289743777,-0.019769827989017455,true,0.0,144.5459645065709,3.270771190046309,3.270771190046309,188.73920093547693,13.198929079575754,201.93813001505268,93.46387476273456,-114.87384260894214,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.0025,0.1,0.225,0.15,1.0,7.0,10.0,6.6306038498586695,90.20147062523209,145.77227649052702,-0.09296013078718447,-0.09296013078718447,-0.007996974158204717,true,0.0,145.77227649052702,3.140680909124441,3.140680909124441,192.1865034395377,13.396235466766768,205.58273890630446,93.48377420301216,-114.53166674832498,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.0025,0.1,0.225,0.15,1.0,7.0,10.0,6.947888209873618,90.28833708933162,146.7408653321725,-0.03975355276986641,-0.03975355276986641,-0.00038532221733303255,false,0.0,146.7408653321725,3.0171730068927296,3.0171730068927296,195.37608280128782,13.62295856807478,208.9990413693626,93.4818081083927,-114.28341169814833,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.0025,0.1,0.225,0.15,1.0,7.0,10.0,7.265172569888567,90.67251503791537,144.68341856720744,-2.2561748073621213e-7,-2.2561748073621213e-7,0.0055146929352823245,false,0.0,144.68341856720744,2.8449509762480933,2.8449509762480933,195.5396265564274,13.031571830846241,208.57119838727365,93.75197921304105,-113.63996521710243,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.0025,0.1,0.225,0.15,1.0,7.0,10.0,7.582456929903516,91.21193104058273,140.62771179772074,0.02312261844525941,0.02312261844525941,0.008903523995182013,false,0.0,140.62771179772074,2.6494938645455304,2.6494938645455304,193.70491030704534,11.97233608350717,205.6772463905525,94.17906633154094,-112.77663683181287,100.0,0.08,0.6,0.27,1.0,false
