gross_delta,delta,iota,kappa,lambda,sigmah,sigmal,mu_b,m,c,p,vb,debt_diff,eq_deriv,eq_deriv_min_val,eq_min_val,eq_negative,eq_vb,abs_debt_diff,debt_per_diff,abs_debt_per_diff,debt,equity,firm_value,leverage,ROE,V0,r,alpha,pi,xi,opt
0.02,0.02,0.0,0.003,0.1,0.25,0.15,1.0,10.0,4.0,4.71967196719672,91.21193104058273,73.16321598528103,-1.3087282874708803,-1.3087282874708803,-2.901825374371817,true,0.0,73.16321598528103,1.5501758701407546,1.5501758701407546,120.35993565724823,-1.8375355533838114,118.52240010386441,101.55036984719644,-90.97474773831301,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.003,0.1,0.25,0.15,1.0,10.0,4.0,4.840273501034314,91.21193104058273,72.89360540364532,-1.3279419319078423,-1.3279419319078423,-2.9783244405163924,true,0.0,72.89360540364532,1.5059811266464331,1.5059811266464331,121.29634041398846,-1.9542436151707008,119.34209679881776,101.63751406049542,-90.8235707300816,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.003,0.1,0.25,0.15,1.0,10.0,4.0,4.960875034871909,91.21193104058273,72.69495099995669,-1.347526816912125,-1.347526816912125,-3.0558270110826773,true,0.0,72.69495099995669,1.4653654947757355,1.4653654947757355,122.30370134867577,-2.0706100755609698,120.23309127311481,101.72216321948962,-90.71629393170696,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.003,0.1,0.25,0.15,1.0,10.0,4.0,5.081476568709503,91.21193104058273,72.56898215876991,-1.3660138900827092,-1.3660138900827092,-3.1302844006941455,true,0.0,72.56898215876991,1.428108172447986,1.428108172447986,123.38374784586495,-2.1795727226638815,121.20417512320107,101.79826538190486,-90.67911295900625,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.003,0.1,0.25,0.15,1.0,10.0,4.0,5.202078102547097,91.21193104058273,72.51488194523836,-1.3833993827736282,-1.3833993827736282,-3.1996512958242334,true,0.0,72.51488194523836,1.3939598851799793,1.3939598851799793,124.53566297070932,-2.280929154380479,122.25473381632885,101.86571847418789,-90.70361719141866,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.003,0.1,0.25,0.15,1.0,10.0,4.0,5.322679636384691,91.21193104058273,72.52422390607668,-1.3997351384762686,-1.3997351384762686,-3.2644817420255694,true,0.0,72.52422390607668,1.3625509867307573,1.3625509867307573,125.75102026992359,-2.3749531580029073,123.37606711192068,101.92497071238984,-90.77724636496527,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.003,0.1,0.25,0.15,1.0,10.0,4.0,5.443281170222285,91.21193104058273,72.58719704335242,-1.4150831381479496,-1.4150831381479496,-3.3257985025816814,true,0.0,72.58719704335242,1.3335191545945477,1.3335191545945477,127.02000874557527,-2.4620058032294216,124.55800294234585,101.97659383184636,-90.8882124117277,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.003,0.1,0.25,0.15,1.0,10.0,4.0,5.563882704059879,91.21193104058273,72.69402752479536,-1.4295051155499665,-1.4295051155499665,-3.3826570713438238,true,0.0,72.69402752479536,1.3065341487474502,1.3065341487474502,128.33285456539414,-2.5424466450869803,125.79040792030716,102.02117688234044,-91.02650726837692,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.003,0.1,0.25,0.15,1.0,10.0,4.0,5.684484237897474,91.21193104058273,72.83497868380692,-1.443062557247673,-1.443062557247673,-3.4353310397461607,true,0.0,72.83497868380692,1.2812944083515743,1.2812944083515743,129.67982106278166,-2.6166337239312356,127.06318733885043,102.05931692627324,-91.18379548718883,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.003,0.1,0.25,0.15,1.0,10.0,4.0,5.805085771735068,91.21193104058273,72.88461846614908,-1.4558167026104698,-1.4558167026104698,-3.4846636651893363,true,0.0,72.88461846614908,1.2555304319709435,1.2555304319709435,130.93547618349976,-2.684923565446933,128.25055261805284,102.09349863266708,-91.32089142730247,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.003,0.1,0.25,0.15,1.0,10.0,4.0,5.925687305572662,91.18783473737827,67.22614310049568,-1.467804968291165,-1.467804968291165,-3.528787603757133,true,0.0,67.22614310049568,1.1344868474121905,1.1344868474121905,126.48301615622229,-2.732109301805797,123.7509068544165,102.20774891372709,-89.68354176242921,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.003,0.1,0.25,0.15,1.0,10.0,4.0,6.0462888394102565,91.21193104058273,63.19881045521204,-1.475695895389553,-1.475695895389553,-3.557632852873196,true,0.0,63.19881045521204,1.0452496090374725,1.0452496090374725,123.6616988493146,-2.7843735452599745,120.87732530405464,102.30347051298179,-88.23257128327188,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.003,0.1,0.25,0.15,1.0,10.0,4.0,6.109048093181202,91.21681197320304,62.43575034544816,-1.4809184837915144,-1.4809184837915144,-3.576840678549259,true,0.0,62.43575034544816,1.0221276640276653,1.0221276640276653,123.5262312772602,-2.8128566295917805,120.71337464766842,102.33019467627493,-88.04374318843576,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.003,0.1,0.25,0.15,1.0,10.0,4.0,6.166890373247851,91.21193104058273,63.446923432887004,-1.4862938230082683,-1.4862938230082683,-3.5962856655468505,true,0.0,63.446923432887004,1.0288317059781311,1.0288317059781311,125.11582716536552,-2.836322187430771,122.27950497793475,102.31954012893868,-88.7070325466245,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.003,0.1,0.25,0.15,1.0,10.0,4.0,6.287491907085445,91.21193104058273,72.2310766127971,-1.4963308472241248,-1.4963308472241248,-3.632359341598823,true,0.0,72.2310766127971,1.1488058780862855,1.1488058780862855,135.10599568365154,-2.88378529596926,132.22221038768228,102.18101428460002,-91.78549065534067,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.003,0.1,0.25,0.15,1.0,10.0,4.0,6.4080934409230395,91.21193104058273,80.09152449403948,-1.5058669721736333,-1.5058669721736333,-3.6661214214978033,true,0.0,80.09152449403948,1.249849510348321,1.249849510348321,144.17245890326987,-2.9271117238626267,141.24534717940725,102.07235975011952,-93.37344626824488,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.003,0.1,0.25,0.15,1.0,10.0,4.0,6.528694974760634,90.93985524693362,73.71883400635846,-1.520414736966846,-1.520414736966846,-3.7009951770152916,true,0.0,73.71883400635846,1.129151144162027,1.129151144162027,139.0057837539648,-2.8337585818499322,136.17202517211487,102.08101376054898,-92.73502975937026,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.003,0.1,0.25,0.15,1.0,10.0,4.0,6.649296508598228,90.94946810993963,71.86534091540666,-1.5286784168150416,-1.5286784168150416,-3.728651573066484,true,0.0,71.86534091540666,1.0807961537356223,1.0807961537356223,138.35830600138894,-2.8731205144729897,135.48518548691595,102.12061599513436,-92.50978258954147,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.003,0.1,0.25,0.15,1.0,10.0,4.0,6.769898042435822,91.21193104058273,80.8087458299042,-1.5319351244158161,-1.5319351244158161,-3.7534838018445478,true,0.0,80.8087458299042,1.193647900210164,1.193647900210164,148.50772625426242,-3.0352993308664837,145.47242692339594,102.08651178443928,-93.74264768676976,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.003,0.1,0.25,0.15,1.0,10.0,4.0,6.890499576273417,91.21193104058273,78.32776472290442,-1.5398641037021878,-1.5398641037021878,-3.778463631343426,true,0.0,78.32776472290442,1.1367501565868519,1.1367501565868519,147.23276048563858,-3.064875092362299,144.1678853932763,102.12590694800134,-93.51112435341527,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.003,0.1,0.25,0.15,1.0,10.0,4.0,7.011101110111011,91.21193104058273,76.44888375139851,-1.5474502298051704,-1.5474502298051704,-3.8016011528588645,true,0.0,76.44888375139851,1.0903976786349334,1.0903976786349334,146.55989485250862,-3.0915751881206814,143.46831966438793,102.15488352784277,-93.36000393060571,100.0,0.08,0.6,0.27,1.0,false
