gross_delta,delta,iota,kappa,lambda,sigmah,sigmal,mu_b,m,c,p,vb,debt_diff,eq_deriv,eq_deriv_min_val,eq_min_val,eq_negative,eq_vb,abs_debt_diff,debt_per_diff,abs_debt_per_diff,debt,equity,firm_value,leverage,ROE,V0,r,alpha,pi,xi
0.02,0.02,0.0,0.005,0.5,0.3,0.15,1.0,1.0,7.5,59.48582226643717,45.723506630756155,1.07427983073827,0.12664849965257874,-0.025851997195877236,0.014422535252735706,false,0.0,1.07427983073827,0.018059426428142282,0.018059426428142282,60.56010209717544,42.79408185275431,103.35418394992975,58.59472716316348,8.5045452150867,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.5,0.3,0.15,1.0,1.0,7.5,59.48582226643717,49.60039901427357,1.1880738604039394,-1.2382933357443633,-1.2382933357443633,-1.3132646597484936,true,0.0,1.1880738604039394,0.01997238695100411,0.01997238695100411,60.67389612684111,43.13567753691055,103.80957366375165,58.44730306221004,9.687137266480628,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.5,0.3,0.15,1.0,1.0,7.5,59.48582226643717,53.47729139779099,1.1880738604039394,-1.8281823038111582,-1.8281823038111582,-3.1390349943472073,true,0.0,1.1880738604039394,0.01997238695100411,0.01997238695100411,60.67389612684111,43.16994027747609,103.84383640431719,58.428018674701676,9.774261942436446,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.5,0.3,0.15,1.0,1.0,7.5,59.48582226643717,57.35418378130841,1.1880738604039394,-1.9373468721303644,-1.9373468721303644,-3.235580373160684,true,0.0,1.1880738604039394,0.01997238695100411,0.01997238695100411,60.67389612684111,43.06562812637203,103.73952425321315,58.48676920740924,9.509012805526007,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.5,0.3,0.15,1.0,1.0,7.5,59.48582226643717,61.23107616482582,1.1880738604039394,-1.4065673431603323,-1.4065673431603323,-1.7808364746706034,true,0.0,1.1880738604039394,0.01997238695100411,0.01997238695100411,60.67389612684111,42.8650834680675,103.53897959490861,58.60005223561684,8.999059775469021,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.5,0.3,0.15,1.0,1.0,7.5,59.48582226643717,65.10796854834324,1.1880738604039394,-0.4692516916368016,-0.4692516916368016,-0.22838385052005172,true,0.0,1.1880738604039394,0.01997238695100411,0.01997238695100411,60.67389612684111,42.54714863235806,103.22104475919917,58.780548354635584,8.190602276768178,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.5,0.3,0.15,1.0,1.0,7.5,59.48582226643717,68.98486093186067,1.142741551058549,0.5087467188452368,0.5087467188452368,0.06325970438532726,false,0.0,1.142741551058549,0.019210317812204163,0.019210317812204163,60.62856381749572,42.02555890599367,102.6541227234894,59.061012075282825,6.741239286233647,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.5,0.3,0.15,1.0,1.0,7.5,59.48582226643717,72.86175331537808,0.8427866307820366,1.373912737778987,1.003161655524842,0.17112536237314546,false,0.0,0.8427866307820366,0.01416785712412603,0.01416785712412603,60.328608897219205,41.20076653486864,101.52937543208785,59.419856214492825,3.8551091594583475,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.5,0.3,0.15,1.0,1.0,7.5,59.48582226643717,76.7386456988955,0.44012757814547143,2.1555344170068276,1.0031617002663042,0.27508888382371544,false,0.0,0.44012757814547143,0.007398865164444374,0.007398865164444374,59.92594984458264,40.02516004371786,99.9511098883005,59.955262039163316,-0.12199942733487346,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.5,0.3,0.15,1.0,1.0,7.5,59.48582226643717,80.61553808241291,-0.08082822807045176,2.864846274112716,1.0031617735411844,0.37535260891008576,false,0.0,0.08082822807045176,-0.0013587813867382028,0.0013587813867382028,59.404994038366716,38.407218805598134,97.81221284396486,60.73371853178771,-5.389301231050059,100.0,0.08,0.6,0.27,1.0
