gross_delta,delta,iota,kappa,lambda,sigmah,sigmal,mu_b,m,c,p,vb,debt_diff,eq_deriv,eq_deriv_min_val,eq_min_val,eq_negative,eq_vb,abs_debt_diff,debt_per_diff,abs_debt_per_diff,debt,equity,firm_value,leverage,ROE,V0,r,alpha,pi,xi,opt
0.02,0.02,0.0,0.004,0.75,0.2,0.15,1.0,5.0,3.0,17.228588648338516,90.45788329628388,-0.6940361000710595,-0.3484822495410152,-0.3484822495410152,-0.3560309012590845,true,0.0,0.6940361000710595,-0.00805679576240844,0.00805679576240844,85.44890714162152,2.157350593820577,87.6062577354421,97.53744692492691,-85.17396174419724,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.004,0.75,0.2,0.15,1.0,5.0,3.0,17.61365610245235,89.01636950521329,-0.23324696298796255,-0.4162185699112081,-0.4162185699112081,-0.47266372187764294,true,0.0,0.23324696298796255,-0.0026484786762185912,0.0026484786762185912,87.83503354927379,2.8662055976520446,90.70123914692583,96.83994879826382,-76.43885324911076,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.004,0.75,0.2,0.15,1.0,5.0,3.0,17.99872355656618,87.66374728122123,-0.29889130798625274,-0.4877607435257289,-0.4877607435257289,-0.6064003002274246,true,0.0,0.29889130798625274,-0.003321250054726388,0.003321250054726388,89.69472647484464,3.6029421242669333,93.29766859911157,96.13822919868628,-65.03787972757746,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.004,0.75,0.2,0.15,1.0,5.0,3.0,18.383791010680014,85.71240260391755,-0.2140298693257705,-0.5950236859048125,-0.5950236859048125,-0.8238160360022626,true,0.0,0.2140298693257705,-0.002328462820333743,0.002328462820333743,91.7049251840743,4.832425008875278,96.53735019294957,94.99424316161912,-41.7434427523485,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.004,0.75,0.2,0.15,1.0,5.0,3.0,18.768858464793844,67.26261815512181,-0.2596660656733434,-0.7176549963047035,-0.7176549963047035,-0.6959398747576947,true,0.0,0.2596660656733434,-0.0027669883723660496,0.0027669883723660496,93.58462625829588,25.797725850961598,119.38235210925748,78.3906704842339,302.12350658948435,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.004,0.75,0.2,0.15,1.0,5.0,3.0,19.153925918907678,69.99116719358207,-0.11521527957688704,-0.7810405112744827,-0.7810405112744827,-0.8943803113086323,true,0.0,0.11521527957688704,-0.0012030461020333487,0.0012030461020333487,95.6544143149615,21.909727172332023,117.56414148729353,81.36359701593189,404.1835269240102,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.004,0.75,0.2,0.15,1.0,5.0,3.0,19.153925918907678,69.99116719358207,-0.11521527957688704,-0.7810405112744827,-0.7810405112744827,-0.8943803113086323,true,0.0,0.11521527957688704,-0.0012030461020333487,0.0012030461020333487,95.6544143149615,21.909727172332023,117.56414148729353,81.36359701593189,404.1835269240102,100.0,0.08,0.6,0.27,1.0,false
