gross_delta,delta,iota,kappa,lambda,sigmah,sigmal,mu_b,m,c,p,opt_vb,cvml_vb,cvmh_vb,debt_diff,debt_per_diff,eq_deriv,eq_min_val,debt,equity,firm_value,leverage,ROE,p_filter_success,V0,r,alpha,pi,xi
0.02,0.02,0.0,0.005,0.5,0.225,0.15,1.0,1.0,0.5,5.882349643328417,6.574975720530296,6.3056156593884385,6.379167160505949,1.3628373185525788e-7,2.3168247404304974e-8,-7.688109739839041e-16,-0.0018236084928044635,5.882349779612149,95.43506247884154,101.31741225845369,5.805862633568535,1.3997504775871583,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.5,0.225,0.15,1.0,1.0,1.0,11.764708206835412,13.148569005393535,12.611241602047427,12.758344403119883,-9.605949635727029e-8,-8.165055577108046e-9,-8.453785632640898e-16,-0.0053794650936480485,11.764708110775915,90.84551963698541,102.61022774776133,11.465434166753994,2.958258188841678,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.5,0.225,0.15,1.0,1.0,1.5,17.647050850512294,19.721361998123033,18.916849192167987,19.137503652209933,3.294391746067049e-7,1.866822832876584e-8,8.611064884399701e-16,-0.009938579367643165,17.647051179951468,86.18584188062201,103.83289306057347,16.995626973098616,4.654226855857724,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.5,0.225,0.15,1.0,1.0,2.0,23.528481284741787,26.292880757640233,25.221405178168418,25.515631868784876,3.858162784808883e-7,1.6397840294566316e-8,2.3815510573512987e-16,-0.014467798965859088,23.528481670558065,81.3860236182109,104.91450528876896,22.42633809862398,6.4265825971927315,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.5,0.225,0.15,1.0,1.0,2.5,29.083142503105353,32.48171867012941,31.14925836338222,31.52442638962032,-5.8081585763147814e-8,-1.9970876860004432e-9,-1.048899170075401e-16,0.009214880432532565,29.083142445023768,76.6583262058392,105.74146865086297,27.504008423649235,8.096056211193602,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.5,0.225,0.15,1.0,1.0,3.0,33.90372589890568,37.80884384879571,36.2308593365505,36.703523184954804,-0.07085021935895952,-0.0020897472912039554,1.4016565685892601e-15,-0.021059957372641554,33.83287567954672,72.43272314935433,106.26559882890105,31.838032300576653,9.46935338848367,false,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.5,0.225,0.15,1.0,1.0,3.5,40.81048664269389,45.58387953040227,43.71742629723425,44.240539736771304,3.16686758594642e-7,7.759935855882204e-9,-5.057924952332833e-16,-0.02530831037445191,40.81048695938065,65.64607316398968,106.45656012337034,38.335342521011576,10.908283903162808,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.5,0.225,0.15,1.0,1.0,4.0,47.0344025165582,52.55770762529961,50.41680290303264,51.00576504516409,-4.437297462800416e-8,-9.434152929312305e-10,3.1394240790602063e-16,-0.02931924574314461,47.03440247218523,59.11054446836742,106.14494694055264,44.31148521702803,11.60177025724225,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.5,0.225,0.15,1.0,1.0,4.5,52.946711064230875,59.166193405652,56.756955485200265,57.41879351305314,-1.8775006793703142e-7,-3.5460194630270325e-9,5.772221541840323e-16,-0.03298578484106778,52.94671087648081,52.236429435613076,105.18314031209388,50.33764034747404,11.015468649784843,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.5,0.225,0.15,1.0,1.0,5.0,58.820005036299776,65.72988676025642,63.052131676729346,63.787725423813114,-4.512228244379912e-7,-7.671247633513915e-9,1.4272586511327301e-16,-0.002433548683574081,58.82000458507695,44.511250301281684,103.33125488635864,56.92373004640837,8.089497953541391,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.5,0.225,0.15,1.0,1.0,5.5,62.8122699777537,70.08632504408499,67.17883890059301,68.03060821507658,3.6145402759757417e-6,5.754513054942781e-8,-1.1850787682647383e-15,-0.009486948279627651,62.81227359229398,38.912321028719795,101.72459462101378,61.7473815711019,4.637537132833169,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.5,0.225,0.15,1.0,1.0,6.0,64.75992728131996,72.04466596000303,68.94850211203043,69.96255576956393,5.97967934368171e-6,9.233610343176762e-8,-1.1008296773272407e-15,-0.0021858748786481204,64.7599332609993,36.468945337269915,101.22887859826922,63.97377325298805,3.4871630844819146,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.5,0.225,0.15,1.0,1.0,6.5,66.31390148225704,73.51613231137468,70.26432352876328,71.44953963657869,4.385889909030993e-6,6.61383180750492e-8,1.4514749522844096e-16,0.02936669623213187,66.31390586814695,34.59193437927266,100.9058402474196,65.71860033626027,2.6890628633702507,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.5,0.225,0.15,1.0,1.0,7.0,67.6341627514527,74.76727000516811,71.31071835421294,72.67236746737252,8.716820090626243e-6,1.2888191020652526e-7,-4.699610514142598e-16,0.012108761865322084,67.6341714682728,33.04803691442593,100.68220838269872,67.17589190256089,2.1078044766565496,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.5,0.225,0.15,1.0,1.0,7.5,73.50448483372196,67.16289283368094,77.60246852163448,79.03794037431652,-1.1803277288890968e-5,-1.6057900841821733e-7,5.199395800783627e-16,0.0015384432242419727,73.50447303044467,25.677968855659394,99.18244188610407,74.11036836021174,-3.0856457953651883,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.5,0.225,0.15,1.0,1.0,8.0,69.80692137768936,76.66786734797712,72.86426511667605,74.58932897412109,-1.2380006751300243e-5,-1.7734640787721307e-7,3.0031261634992236e-16,-0.006732824332900745,69.80690899768261,30.65265951008932,100.45956850777193,69.48756602740343,1.5220982433917118,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.5,0.225,0.15,1.0,1.0,8.5,70.71595790333761,77.41096210029929,73.43659596937182,75.34736652804803,4.891372796578253e-6,6.916929278203827e-8,-1.2876116418949466e-15,0.022171379720579115,70.7159627947104,29.732042118988673,100.44800491369908,70.4005648051116,1.5298604852822528,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.5,0.225,0.15,1.0,1.0,9.0,71.55155485853551,77.87501362131714,73.92426495511693,76.02239838054722,-3.181213159564322e-5,-4.4460433681055495e-7,5.676283720362227e-16,0.01212500294997089,71.55152304640391,28.937971900188842,100.48949494659276,71.20298801823162,1.7206367405580236,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.5,0.225,0.15,1.0,1.0,9.5,72.22239513590044,81.92633567556587,74.22200080464688,76.51121259145931,-3.138962924253974e-6,-4.346245950923404e-8,3.721496976419191e-16,0.05233822451937102,72.22239199693752,28.17332744419284,100.39571944113035,71.93772045160452,1.4245986950594425,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.5,0.225,0.15,1.0,1.0,10.0,72.08992751185743,79.96214757614707,73.59367531895437,76.09208118926485,-6.155673119678795e-5,-8.538880995082571e-7,-1.5365426324442155e-15,-0.016504223083510614,72.08986595512623,28.962422634671924,101.05228858979815,71.33917198823752,3.770274224073189,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.5,0.225,0.15,1.0,1.0,10.5,73.72555034778638,79.37725200391229,75.0036220938558,77.67134912298316,3.1174484533380564e-5,4.22845056921526e-7,-1.2952612175320244e-15,-0.02780768165631078,73.72558152227091,27.066433331985777,100.79201485425669,73.14625233841856,3.014395370645495,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.5,0.225,0.15,1.0,1.0,11.0,76.66620971958714,80.33178327004124,77.91802796197089,80.72564574198121,3.0734570827917196e-5,4.008880958160234e-7,9.52581074300646e-16,-0.003578183377185056,76.66624045415797,22.67841039348068,99.34465084763865,77.17198641297583,-2.8085879220356103,true,100.0,0.08,0.6,0.27,1.0
