gross_delta,delta,iota,kappa,lambda,sigmah,sigmal,mu_b,m,c,p,opt_vb,cvml_vb,cvmh_vb,debt_diff,debt_per_diff,eq_deriv,eq_min_val,debt,equity,firm_value,leverage,ROE,p_filter_success,V0,r,alpha,pi,xi
0.02,0.02,0.0,0.003,0.5,0.2,0.15,1.0,1.0,0.5,6.024102407990776,6.600857895782899,6.403376672301746,6.497055390929572,-2.4318189240091215e-7,-4.036815378143958e-8,5.981352224206931e-16,0.002419434708822071,6.024102164808884,95.43703330478334,101.46113546959222,5.937349446098304,1.5547980953102059,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.003,0.5,0.2,0.15,1.0,1.0,1.0,12.048181504917359,13.200408941745183,12.806726715475445,12.994084374456216,4.5491915301454355e-7,3.775832500770945e-8,6.521499205798866e-16,0.003444046459458528,12.048181959836512,90.86618603284708,102.9143679926836,11.70699698675023,3.3135960775168227,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.003,0.5,0.2,0.15,1.0,1.0,1.5,18.072279758556423,19.799372464290233,19.21009864210094,19.491135059223996,3.796621896867691e-7,2.1007985420711293e-8,4.419177154056922e-16,0.003992610215930271,18.072280138218613,86.26296608514036,104.33524622335898,17.321356677042584,5.291549954853969,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.003,0.5,0.2,0.15,1.0,1.0,2.0,24.096875150261756,26.398537930435335,25.61403846872072,25.98874891541618,-3.1273741640802655e-7,-1.2978339077489447e-8,-1.3958084373806462e-17,0.004360509202247263,24.09687483752434,81.57246606384751,105.66934090137185,22.80403628145607,7.4691798120779085,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.003,0.5,0.2,0.15,1.0,1.0,2.5,29.685221316896477,32.49308919749624,31.519633973643927,31.992167870543266,9.966412051198859e-7,3.357364913943254e-8,1.605780500213357e-15,0.0031103697494649953,29.685222313537682,77.11331799715057,106.79854031068825,27.795531874480893,9.66872190224839,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.003,0.5,0.2,0.15,1.0,1.0,3.0,34.72025492022887,37.94512427440456,36.79315918892833,37.368779414299006,-0.07299744016316367,-0.0021024453976757405,4.544975507059235e-16,0.0044809604217370975,34.647257480065704,72.97524961300405,107.62250709306976,32.19331942351376,11.663637667148684,false,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.003,0.5,0.2,0.15,1.0,1.0,3.5,41.65544526910047,45.59927862195485,44.23730676880174,44.897939824400396,-5.502551658764787e-8,-1.3209681527150825e-9,-3.075575008070092e-16,0.005690202653006223,41.65544521407495,66.65685482428458,108.31230003835952,38.458647078238016,14.246916561208867,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.003,0.5,0.2,0.15,1.0,1.0,4.0,48.17517906466667,52.772157014754235,51.206862298184156,51.95645983342286,-3.014664287093183e-7,-6.257712676161574e-9,-4.108591160851459e-16,0.006541024848871363,48.17517876320024,60.23881022223934,108.41398898543957,44.43631233758068,16.235442370353947,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.003,0.5,0.2,0.15,1.0,1.0,4.5,54.23187125365866,59.40907427128853,57.64746753474217,58.49043380820784,1.9611118062812238e-7,3.616161052434496e-9,-5.547967829057305e-16,0.007450325775852535,54.23187144976984,53.57505619367937,107.80692764344921,50.304625718610005,17.05756361630817,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.003,0.5,0.2,0.15,1.0,1.0,5.0,60.07907764460657,65.80552138929103,63.84876906155848,64.78709661476742,0.005530111636751656,9.204721266635667e-5,9.43689570931383e-16,-0.025725889860160486,60.08460775624332,46.19746505575846,106.28207281200179,56.53315386737388,15.738471949964072,true,100.0,0.08,0.6,0.27,1.0
