datetime,eq_type,kappa,mu_s,m,c,p,sf_defaults_first,misrep_type,s_fi_vb,st_vb,s_eq_deriv,s_eq_min_val,s_mu_b,s_eq_deriv_min_val,s_eq_negative,s_eq_vb,s_MBR,s_debt,s_equity,s_firm_value,s_leverage,s_iota,s_lambda,s_sigmah,s_delta,s_rmp,s_jeq_objf,s_misrep_ic_objf,r_fi_vb,rt_vb,r_eq_deriv,r_eq_min_val,r_mu_b,r_eq_deriv_min_val,r_eq_negative,r_eq_vb,r_MBR,r_debt,r_equity,r_firm_value,r_leverage,r_iota,r_lambda,r_sigmah,r_delta,r_rmp,r_jeq_objf,r_misrep_ic_objf,V0,alpha,pi,r,gross_delta,xi,sigmal,s_rm_iota,s_nrm_lambda,s_nrm_sigmah,r_rm_iota,r_nrm_lambda,r_nrm_sigmah,s_sigmal,r_sigmal,s_obj_fun,r_obj_fun
2020-02-27T12:50:38.164,misrep,0.0025,1.0,1.0,4.646464646464646,56.32059669005159,false,rt,59.73986515020412,59.73986515020412,0.35185812933800864,0.1509456141974504,1.0,0.35185812933800864,false,0.12338578431873795,27.045988709802728,56.320161932674196,55.49348213947486,111.81364407214906,50.36966856775811,0.0,0.0,0.15,0.02,st,firm_value,firm_value,61.54245971480211,59.73986515020412,0.35185812933800864,0.1509456141974504,1.0,0.35185812933800864,false,0.12338578431873795,27.045988709802728,56.320161932674196,55.49348213947486,111.81364407214906,50.36966856775811,0.0,0.0,0.15,0.02,rt,firm_value,firm_value,100.0,0.6,0.27,0.08,0.02,1.0,0.15,0.0,0.0,NaN,0.0,0.1,0.225,0.15,0.15,firm_value,misrep
2020-02-27T12:50:38.164,misrep,0.0025,1.0,1.0,4.646464646464646,56.32059669005159,false,rt,59.73986515020412,59.73986515020412,0.35185812933800864,0.1509456141974504,1.0,0.35185812933800864,false,0.12338578431873795,27.045988709802728,56.320161932674196,55.49348213947486,111.81364407214906,50.36966856775811,0.0,0.0,0.15,0.02,st,firm_value,firm_value,61.54245971480211,60.41916885942014,-0.0008193420724903731,0.0013428745749137802,1.0,-0.0008193420724903731,false,0.0,20.294386228244644,56.320161932674196,52.544393108580735,108.86455504125493,51.7341589384454,0.0,0.1,0.225,0.02,rt,firm_value,firm_value,100.0,0.6,0.27,0.08,0.02,1.0,0.15,0.0,0.0,NaN,0.0,0.1,0.225,0.15,0.15,firm_value,misrep
2020-02-27T12:50:51.151,misrep,0.0025,1.0,1.0,4.646464646464646,56.32059669005159,false,rt,59.73986515020412,59.73986515020412,0.4436579093987832,0.23672689993016557,1.0,0.4436579093987832,false,0.20233264352681984,27.045993219895827,56.320161932674196,55.49348410947622,111.81364604215042,50.369667680314414,0.0,0.0,0.15,0.02,st,firm_value,firm_value,61.89784197222088,60.61689829586857,-0.002332624589489334,0.001190587633116021,1.0,-0.002332624589489334,false,0.0,18.483032641001284,56.320161932674196,51.75319679484614,108.07335872752034,52.11290052960346,0.0,0.15,0.225,0.02,rt,firm_value,firm_value,100.0,0.6,0.27,0.08,0.02,1.0,0.15,0.0,0.0,NaN,0.0,0.15,0.225,0.15,0.15,firm_value,misrep
2020-02-27T12:51:03.882,misrep,0.0025,1.0,1.0,4.646464646464646,56.32059669005159,false,rt,59.73986515020412,59.73986515020412,0.5115454135060948,0.3150668831272917,1.0,0.5115454135060948,false,0.2756040326932009,27.045996677042904,56.320161932674196,55.49348561955246,111.81364755222666,50.36966700005722,0.0,0.0,0.15,0.02,st,firm_value,firm_value,62.114164813024985,60.76989363951487,-0.0027065453361905206,0.001132532126011849,1.0,-0.0027065453361905206,false,0.0,17.150305944205478,56.320161932674196,51.171063931805705,107.4912258644799,52.395124792492474,0.0,0.2,0.225,0.02,rt,firm_value,firm_value,100.0,0.6,0.27,0.08,0.02,1.0,0.15,0.0,0.0,NaN,0.0,0.2,0.225,0.15,0.15,firm_value,misrep
2020-02-27T12:51:16.621,misrep,0.0025,1.0,1.0,4.646464646464646,56.32059669005159,false,rt,59.73986515020412,59.73986515020412,0.6047029216763116,0.4453797639023124,1.0,0.6047029216763116,false,0.39894017257329334,27.046001562458443,56.320161932674196,55.49348775349406,111.81364968616825,50.369666038762,0.0,0.0,0.15,0.02,st,firm_value,firm_value,62.333741409048926,60.99028660499355,-0.002875666289691419,0.0010771388328366534,1.0,-0.002875666289691419,false,0.0,15.31462268850623,56.320161932674196,50.36924045828726,106.68940239096145,52.78889999429367,0.0,0.3,0.225,0.02,rt,firm_value,firm_value,100.0,0.6,0.27,0.08,0.02,1.0,0.15,0.0,0.0,NaN,0.0,0.3,0.225,0.15,0.15,firm_value,misrep
2020-02-27T12:51:29.542,misrep,0.0025,1.0,1.0,4.646464646464646,56.32059669005159,false,rt,59.73986515020412,59.73986515020412,0.708403326161886,0.6252194101157984,1.0,0.708403326161886,false,0.570981822630554,27.04600717216996,56.320161932674196,55.493490203806964,111.81365213648115,50.369664934948275,0.0,0.0,0.15,0.02,st,firm_value,firm_value,62.43049739021312,61.251690150901496,-0.0021997473908980433,0.0010775383955857994,1.0,-0.0021997473908980433,false,0.0,13.248588270494732,56.320161932674196,49.46679997008462,105.78696190275882,53.23922808601371,0.0,0.5,0.225,0.02,rt,firm_value,firm_value,100.0,0.6,0.27,0.08,0.02,1.0,0.15,0.0,0.0,NaN,0.0,0.5,0.225,0.15,0.15,firm_value,misrep
2020-02-27T12:51:42.244,misrep,0.0025,1.0,1.0,4.646464646464646,56.32059669005159,false,rt,59.73986515020412,59.73986515020412,0.7738576833459196,0.7599989418650165,1.0,0.7738576833459196,false,0.7008206058638841,27.046010807620547,56.320161932674196,55.49349179176589,111.81365372444009,50.36966421960667,0.0,0.0,0.15,0.02,st,firm_value,firm_value,62.364690043190876,61.4265973416878,-0.0008759723778799472,0.001142638250879792,1.0,-0.0008759723778799472,false,0.0,11.901541649892566,56.320161932674196,48.878412187514215,105.19857412018841,53.53700124141314,0.0,0.75,0.225,0.02,rt,firm_value,firm_value,100.0,0.6,0.27,0.08,0.02,1.0,0.15,0.0,0.0,NaN,0.0,0.75,0.225,0.15,0.15,firm_value,misrep
