eq_type,sf_defaults_first,kappa,mu_s,m,c,p,vb,sf_vb,s_eq_deriv,s_eq_min_val,s_mu_b,s_eq_deriv_min_val,s_eq_negative,s_eq_vb,s_MBR,s_debt,s_equity,s_firm_value,s_leverage,s_iota,s_lambda,s_sigmah,s_delta,s_sigmal,s_obj_fun,rf_vb,r_eq_deriv,r_eq_min_val,r_mu_b,r_eq_deriv_min_val,r_eq_negative,r_eq_vb,r_MBR,r_debt,r_equity,r_firm_value,r_leverage,r_iota,r_lambda,r_sigmah,r_delta,r_sigmal,r_obj_fun,V0,alpha,pi,r,gross_delta,xi
misrep,false,0.0025,1.0,1.0,4.646464646464646,56.32059669005158,60.586576237823685,59.7398651502041,0.4298753069184194,0.22702153055066146,1.0,0.4298753069184194,false,0.18905511191359708,27.046026065651517,56.320161932674196,55.49349845644911,111.8136603891233,50.36966121730933,0.0,0.0,0.15,0.02,0.15,firm_value,59.7398651502041,0.4298753069184194,0.22702153055066146,1.0,0.4298753069184194,false,0.18905511191359708,27.046026065651517,56.320161932674196,55.49349845644911,111.8136603891233,50.36966121730933,0.0,0.0,NaN,0.02,0.15,misrep,100.0,0.6,0.27,0.08,0.02,1.0
misrep,false,0.0025,1.0,1.0,4.646464646464646,56.32059669005158,60.586576237823685,59.7398651502041,0.4298753069184194,0.22702153055066146,1.0,0.4298753069184194,false,0.18905511191359708,27.046026065651517,56.320161932674196,55.49349845644911,111.8136603891233,50.36966121730933,0.0,0.0,0.15,0.02,0.15,firm_value,60.586576237823685,0.0007718374718801364,0.0018200299347333614,1.0,0.0007718374718801364,false,0.0,17.90857291476591,56.320161932674196,51.502273716664526,107.82243564933873,52.2341770462682,0.0,0.1,0.25,0.02,0.15,misrep,100.0,0.6,0.27,0.08,0.02,1.0
misrep,false,0.0025,1.0,1.0,4.646464646464646,56.32059669005158,61.006403494774865,59.7398651502041,0.6113010188099623,0.462089578957504,1.0,0.6113010188099623,false,0.4087558128122787,27.046035129022105,56.320161932674196,55.493502415314715,111.81366434798892,50.36965943392514,0.0,0.0,0.15,0.02,0.15,firm_value,61.006403494774865,-0.0004337854164574634,0.0016152610540221737,1.0,-0.0004337854164574634,false,0.0,13.804134794033684,56.320161932674196,49.7094617919551,106.02962372462929,53.11738357097627,0.0,0.2,0.25,0.02,0.15,misrep,100.0,0.6,0.27,0.08,0.02,1.0
misrep,false,0.0025,1.0,1.0,4.646464646464646,56.32059669005158,61.2613368998879,59.7398651502041,0.7120892314668368,0.6397694370693745,1.0,0.7120892314668368,false,0.5778427016167036,27.04604040312313,56.320161932674196,55.493504719033496,111.81366665170769,50.369658396149234,0.0,0.0,0.15,0.02,0.15,firm_value,61.2613368998879,-0.0005086954597157125,0.001547912590863814,1.0,-0.0005086954597157125,false,0.0,11.446733585533565,56.320161932674196,48.67975276148506,104.99991469415926,53.638293037400985,0.0,0.3,0.25,0.02,0.15,misrep,100.0,0.6,0.27,0.08,0.02,1.0
misrep,false,0.0025,1.0,1.0,4.646464646464646,56.32059669005158,61.551544966879696,59.7398651502041,0.8187553435886925,0.8715170771726131,1.0,0.8187553435886925,false,0.8004466706747132,27.046046173680338,56.320161932674196,55.49350723960354,111.81366917227774,50.369657260686516,0.0,0.0,0.15,0.02,0.15,firm_value,61.551544966879696,-0.0002054303068389833,0.0015042390418806759,1.0,-0.0002054303068389833,false,0.0,8.823584394836526,56.320161932674196,47.53396544272423,103.85412737539843,54.23006610906794,0.0,0.5,0.25,0.02,0.15,misrep,100.0,0.6,0.27,0.08,0.02,1.0
misrep,false,0.0025,1.0,1.0,4.646464646464646,56.32059669005158,61.73253923540354,59.7398651502041,0.8811453373892781,1.030932566443278,1.0,0.8811453373892781,false,0.9544877714546335,27.046049664264604,56.320161932674196,55.493508764285096,111.81367069695929,50.36965657385022,0.0,0.0,0.15,0.02,0.15,firm_value,61.73253923540354,-0.00023024492007905976,0.0014567828297866055,1.0,-0.00023024492007905976,false,0.0,7.12758547243495,56.320161932674196,46.793155859795625,103.11331779246981,54.619677785973785,0.0,0.75,0.25,0.02,0.15,misrep,100.0,0.6,0.27,0.08,0.02,1.0
