c,p,vb,debt,debt_diff,abs_debt_diff,debt_per_diff,abs_debt_per_diff,count,time
10.0,54.07135713571357,40.336457347876845,56.69862726523621,2.6272701295226426,2.6272701295226426,0.048588943734636875,0.048588943734636875,1,74828119
10.0,54.07135713571357,42.09328751759003,56.69862726523621,2.6272701295226426,2.6272701295226426,0.048588943734636875,0.048588943734636875,1,74828119
10.0,54.07135713571357,43.850117687303204,56.69862726523621,2.6272701295226426,2.6272701295226426,0.048588943734636875,0.048588943734636875,1,74828119
10.0,54.07135713571357,45.60694785701638,56.6852561848529,2.6138990491393344,2.6138990491393344,0.048341657905473234,0.048341657905473234,1,74828119
10.0,54.07135713571357,47.363778026729555,56.6853885361237,2.614031400410134,2.614031400410134,0.048344105620452306,0.048344105620452306,1,74828119
10.0,54.07135713571357,49.12060819644273,56.68553466371341,2.6141775279998427,2.6141775279998427,0.048346808115774215,0.048346808115774215,1,74828119
10.0,54.07135713571357,50.877438366155914,56.68546759295209,2.6141104572385174,2.6141104572385174,0.048345567703754276,0.048345567703754276,1,74828119
10.0,54.07135713571357,52.63426853586909,56.68554541315188,2.614188277438309,2.614188277438309,0.04834700691674826,0.04834700691674826,1,74828119
10.0,54.07135713571357,54.391098705582266,56.685472955158424,2.614115819444855,2.614115819444855,0.04834566687282681,0.04834566687282681,1,74828119
10.0,54.07135713571357,56.14792887529545,56.685482085672184,2.614124949958615,2.614124949958615,0.048345835733277956,0.048345835733277956,1,74828119
10.0,54.07135713571357,57.904759045008625,56.68539065354901,2.6140335178354377,2.6140335178354377,0.048344144780285085,0.048344144780285085,1,74828119
10.0,54.07135713571357,59.6615892147218,56.68511439294621,2.613757257232642,2.613757257232642,0.04833903559461951,0.04833903559461951,1,74828119
10.0,54.07135713571357,61.418419384434976,56.6847804391181,2.613423303404531,2.613423303404531,0.04833285942583439,0.04833285942583439,1,74828119
10.0,54.07135713571357,63.17524955414815,56.68375659130855,2.612399455594982,2.612399455594982,0.04831392430262342,0.04831392430262342,1,74828119
10.0,54.07135713571357,64.93207972386134,56.682098229753215,2.6107410940396463,2.6107410940396463,0.04828325443149047,0.04828325443149047,1,74828119
10.0,54.07135713571357,66.6889098935745,56.67925845031457,2.6079013146010013,2.6079013146010013,0.04823073532361017,0.04823073532361017,1,74828119
10.0,54.07135713571357,68.44574006328769,56.67408750285738,2.6027303671438133,2.6027303671438133,0.048135103408098796,0.048135103408098796,1,74828119
10.0,54.07135713571357,70.20257023300087,56.66602273301211,2.594665597298544,2.594665597298544,0.04798595291008138,0.04798595291008138,1,74828119
10.0,54.07135713571357,71.95940040271405,56.65365435592429,2.5822972202107195,2.5822972202107195,0.047757211155795815,0.047757211155795815,1,74828119
10.0,54.07135713571357,73.71623057242724,56.63480020929193,2.5634430735783624,2.5634430735783624,0.047408521061241035,0.047408521061241035,1,74828119
10.0,54.07135713571357,75.4730607421404,56.6084297248006,2.537072589087032,2.537072589087032,0.046920823213651534,0.046920823213651534,1,74828119
10.0,54.07135713571357,77.22989091185357,56.574027580108535,2.5026704443949654,2.5026704443949654,0.04628458720045659,0.04628458720045659,1,74828119
10.0,54.07135713571357,78.98672108156676,56.52962981389319,2.4582726781796183,2.4582726781796183,0.045463491364006375,0.045463491364006375,1,74828119
10.0,54.07135713571357,80.74355125127994,56.4734865237558,2.4021293880422334,2.4021293880422334,0.04442517286949419,0.04442517286949419,1,74828119
10.0,54.07135713571357,82.50038142099311,56.40816395341709,2.3368068177035184,2.3368068177035184,0.043217092033373095,0.043217092033373095,1,74828119
10.0,54.07135713571357,84.25721159070629,56.3390388139165,2.2676816782029334,2.2676816782029334,0.04193868617928869,0.04193868617928869,1,74828119
10.0,54.07135713571357,86.01404176041947,56.28059529552567,2.2092381598121023,2.2092381598121023,0.04085782707963369,0.04085782707963369,1,74828119
10.0,54.07135713571357,86.89919435635201,56.26196086099912,2.1906037252855484,2.1906037252855484,0.04051320035832201,0.04051320035832201,1,74828119
10.0,54.07135713571357,87.75384807554958,56.25534226459491,2.183985128881339,2.183985128881339,0.04039079550749503,0.04039079550749503,1,74828119
10.0,54.07135713571357,87.78434695228457,56.25535588147042,2.1839987457568526,2.1839987457568526,0.04039104733907898,0.04039104733907898,1,74828119
10.0,54.07135713571357,88.6560245260652,56.26335333325921,2.1919961975456417,2.1919961975456417,0.0405389528515801,0.0405389528515801,1,74828119
10.0,54.07135713571357,89.52770209984583,56.286611554471406,2.215254418757837,2.215254418757837,0.040969092253367624,0.040969092253367624,1,74828119
10.0,56.063666893005085,41.87464475791015,58.608604686792724,2.544937793787639,2.544937793787639,0.04539370923854366,0.04539370923854366,1,78749791
10.0,56.063666893005085,43.69844571281305,58.608604686792724,2.544937793787639,2.544937793787639,0.04539370923854366,0.04539370923854366,1,78749791
10.0,56.063666893005085,45.52224666771595,58.58950829535532,2.5258414023502382,2.5258414023502382,0.045053089502167055,0.045053089502167055,1,78749791
10.0,56.063666893005085,47.34604762261885,58.589669754005776,2.5260028610006913,2.5260028610006913,0.04505596941815188,0.04505596941815188,1,78749791
10.0,56.063666893005085,49.16984857752175,58.589783390024365,2.526116497019281,2.526116497019281,0.0450579963283575,0.0450579963283575,1,78749791
10.0,56.063666893005085,50.99364953242465,58.589802689302296,2.5261357962972113,2.5261357962972113,0.045058340566952654,0.045058340566952654,1,78749791
