gross_delta,delta,iota,kappa,lambda,sigmah,sigmal,mu_b,m,c,p,vb,eq_deriv,eq_deriv_min_val,eq_min_val,eq_negative,eq_vb,debt,equity,firm_value,leverage,MBR,V0,r,alpha,pi,xi,eq_type,datetime,type,rmp,mu_s,fi_vb,st_vb,rt_vb,sf_defaults_first,misrep_type
0.02,0.02,0.0,0.0025,NaN,NaN,0.15,1.0451623231919476,1.0,4.5,54.0,59.94922306095647,0.0709412180474818,0.0709412180474818,0.007183978240149915,false,0.004691090647407247,56.461188321574454,55.511353010269104,111.97254133184356,50.42413760552705,27.498548697819004,100.0,0.08,0.6,0.27,1.0,misrep,2020-01-06T13:26:23.279,st,rm,1.0,59.82018174178425,59.82018174178425,NaN,false,rt
0.02,0.0198,0.0002,0.0025,NaN,NaN,0.15,1.0451623231919476,1.0,4.5,54.0,59.94922306095647,0.004619534697876491,0.004619534697876491,0.00041695112693683353,false,0.0,56.461188321574454,54.53329152856021,110.99447985013467,50.86846516854591,25.252135798604435,100.0,0.08,0.6,0.27,1.0,misrep,2020-01-06T13:26:23.279,rt,rm,1.0,60.174927626237405,NaN,59.94922306095647,false,rt
0.02,0.02,0.0,0.0025,NaN,NaN,0.15,1.0451623231919476,1.0,4.5,54.0,60.85532737566806,0.5149061099991047,0.5149061099991047,0.31857587483866023,false,0.2788343929312709,56.461188321574454,55.51139039064108,111.97257871221554,50.4241207721823,27.498634553106594,100.0,0.08,0.6,0.27,1.0,misrep,2020-01-06T13:26:41.362,st,rm,1.0,59.82018174178425,59.82018174178425,NaN,false,rt
0.02,0.02,0.0,0.0025,0.2,0.225,0.15,1.0451623231919476,1.0,4.5,54.0,60.85532737566806,-0.0026038963296497837,-0.0026038963296497837,0.0011434586483791166,false,0.0,56.461188321574454,51.150673761104606,107.61186208267907,52.467439210553636,17.48293485568626,100.0,0.08,0.6,0.27,1.0,misrep,2020-01-06T13:26:41.362,rt,nrm,1.0,62.211898027854446,NaN,60.85532737566806,false,rt
0.02,0.02,0.0,0.0025,NaN,NaN,0.15,1.0451623231919476,1.0,4.5,54.0,60.17979055279425,0.06342715444752148,0.06342715444752148,0.037861294861765316,false,0.035606670384447744,56.46110445768355,55.44408684190419,111.90519129958773,50.45441038256065,27.343806385756398,100.0,0.08,0.6,0.27,1.0,misrep,2020-01-06T13:26:57.607,st,rm,0.0,59.82018174178425,59.82018174178425,NaN,false,st
0.02,0.0198,0.0002,0.0025,NaN,NaN,0.15,1.0451623231919476,1.0,4.5,54.0,60.17979055279425,-1.0275999122522718e-5,-1.0275999122522718e-5,0.0002710604761871359,false,0.0,56.46110445768355,54.4652457098431,110.92635016752665,50.89963238888965,25.095607115038266,100.0,0.08,0.6,0.27,1.0,misrep,2020-01-06T13:26:57.607,rt,rm,0.0,60.174927626237405,NaN,60.17979055279425,false,st
