gross_delta,delta,iota,kappa,lambda,sigmah,sigmal,mu_b,m,c,p,vb,debt_diff,eq_deriv,eq_deriv_min_val,eq_min_val,eq_negative,eq_vb,abs_debt_diff,debt_per_diff,abs_debt_per_diff,debt,equity,firm_value,leverage,ROE,V0,r,alpha,pi,xi
0.02,0.02,0.0,0.001,0.5,0.2,0.15,1.0,1.0,2.5,29.649609697811886,23.218902885514197,0.04789384576190159,3.3275436865468313,-0.4560716090988207,0.1031047868846632,false,0.0,0.04789384576190159,0.0016153280346700857,0.0016153280346700857,29.697503543573788,77.96195410803857,107.65945765161236,27.584667609672863,10.895000942619038,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.001,0.5,0.2,0.15,1.0,1.0,2.5,29.649609697811886,25.241443573892504,0.04789384576190159,-0.5932409964235433,-0.5932409964235433,-0.8539632365084969,true,0.0,0.04789384576190159,0.0016153280346700857,0.0016153280346700857,29.697503543573788,77.95670839612026,107.65421193969405,27.58601173933612,10.88753931297186,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.001,0.5,0.2,0.15,1.0,1.0,2.5,29.649609697811886,27.263984262270814,0.04789384576190159,-1.6185696007764285,-1.6185696007764285,-1.4070751521315479,true,0.0,0.04789384576190159,0.0016153280346700857,0.0016153280346700857,29.697503543573788,77.94622950232471,107.6437330458985,27.588697180272437,10.872633876716066,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.001,0.5,0.2,0.15,1.0,1.0,2.5,29.649609697811886,29.28652495064912,0.04789384576190159,-1.3840911620617191,-1.3840911620617191,-0.8475703250689278,true,0.0,0.04789384576190159,0.0016153280346700857,0.0016153280346700857,29.697503543573788,77.92635607374851,107.6238596173223,27.59379160826333,10.844365423136292,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.001,0.5,0.2,0.15,1.0,1.0,2.5,29.649609697811886,31.30906563902743,0.04789384576190159,-0.47615394155319346,-0.47615394155319346,-0.10804139070241355,true,0.0,0.04789384576190159,0.0016153280346700857,0.0016153280346700857,29.697503543573788,77.89027638503043,107.58777992860422,27.603045218779677,10.793044786549167,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.001,0.5,0.2,0.15,1.0,1.0,2.5,29.649609697811886,31.94245081485174,0.04789384576190159,-0.13166522150025994,-0.13166522150025994,-0.008568602165690527,false,0.0,0.04789384576190159,0.0016153280346700857,0.0016153280346700857,29.697503543573788,77.87407089454602,107.57157443811981,27.607203574636884,10.769993698321523,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.001,0.5,0.2,0.15,1.0,1.0,2.5,29.649609697811886,33.33160632740574,-0.0031320864329771325,0.6408194482498283,0.6408194482498283,0.024212348619979524,false,0.0,0.0031320864329771325,-0.00010563668341334954,0.00010563668341334954,29.64647761137891,77.8304063868247,107.47688399820362,27.584050177593934,10.627590125342357,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.001,0.5,0.2,0.15,1.0,1.0,2.5,29.649609697811886,35.354147015784044,-0.05038496971620887,1.6891943856057396,1.0031702986882394,0.0641846903076359,false,0.0,0.05038496971620887,-0.001699346811972612,0.001699346811972612,29.599224728095678,77.76937667117234,107.36860139926802,27.567859078303563,10.466648088474528,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.001,0.5,0.2,0.15,1.0,1.0,2.5,29.649609697811886,37.37668770416235,-0.06475796530736488,2.596845466320482,1.003251562746793,0.10032174363468792,false,0.0,0.06475796530736488,-0.002184108525116402,0.002184108525116402,29.58485173250452,77.73151227075314,107.31636400325766,27.56788492350193,10.39032677381293,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.001,0.5,0.2,0.15,1.0,1.0,2.5,29.649609697811886,39.399228392540664,-0.05655816073635833,3.3849954469558203,1.0033731435211968,0.13294143074020426,false,0.0,0.05655816073635833,-0.0019075516107226285,0.0019075516107226285,29.593051537075528,77.72197490871481,107.31502644579034,27.575869397958275,10.389637110380301,100.0,0.08,0.6,0.27,1.0
