gross_delta,delta,iota,kappa,lambda,sigmah,sigmal,mu_b,m,c,p,vb,debt_diff,eq_deriv,eq_deriv_min_val,eq_min_val,eq_negative,eq_vb,abs_debt_diff,debt_per_diff,abs_debt_per_diff,debt,equity,firm_value,leverage,ROE,V0,r,alpha,pi,xi,opt
0.02,0.02,0.0,0.004,0.3,0.225,0.15,1.0,3.0,9.0,32.16129770871824,91.21193104058273,-1.005975775050402,-0.3562116631849739,-0.3562116631849739,-0.18485654240171048,true,0.0,1.005975775050402,-0.010426359700629695,0.010426359700629695,95.47791735110431,6.0429137700591635,101.52083112116347,94.04761199911077,33.63121020211486,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.004,0.3,0.225,0.15,1.0,3.0,9.0,32.92492143951237,91.21193104058273,-2.9077644667188736,-0.48104558179858964,-0.48104558179858964,-0.3269663319473147,true,0.0,2.9077644667188736,-0.029438333634911766,0.029438333634911766,95.86699985181824,5.450737899369755,101.31773775118799,94.62015435761558,31.883322137496272,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.004,0.3,0.225,0.15,1.0,3.0,9.0,34.452168901100634,89.76620436582618,-1.5171806350969206,-0.694074186027019,-0.694074186027019,-0.6292713307412131,true,0.0,1.5171806350969206,-0.014679101330815892,0.014679101330815892,101.83932606820498,6.394814213469837,108.23414028167483,94.09168475230865,-447.6715914601591,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.004,0.3,0.225,0.15,1.0,3.0,9.0,34.923062183627664,89.21283494724734,5.481970076413184e-5,-0.6966186493449786,-0.6966186493449786,-0.6230977834565832,true,0.0,5.481970076413184e-5,-0.00013639191835306024,0.00013639191835306024,104.76924137058374,7.171214215939287,111.94045558652303,93.59372428996737,-250.3638348054829,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.004,0.3,0.225,0.15,1.0,3.0,9.0,35.979416362688895,88.68297452631252,2.9696851766855445,-0.6279517851707731,-0.6279517851707731,-0.4944361759856659,true,0.0,2.9696851766855445,0.027512815908868248,0.027512815908868248,110.90793426475223,8.257586887343438,119.16552115209566,93.07048984680397,-175.70257288794733,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.004,0.3,0.225,0.15,1.0,3.0,9.0,36.74304009348303,89.64685104084438,2.5230635397178105,-0.5938108129063631,-0.5938108129063631,-0.4467039682667502,true,0.0,2.5230635397178105,0.02288926495374849,0.02288926495374849,112.7521838201669,6.952151971241525,119.70433579140843,94.1922304440534,-154.51734439592272,100.0,0.08,0.6,0.27,1.0,false
