gross_delta,delta,iota,kappa,lambda,sigmah,sigmal,mu_b,m,c,p,vb,debt_diff,eq_deriv,eq_deriv_min_val,eq_min_val,eq_negative,eq_vb,abs_debt_diff,debt_per_diff,abs_debt_per_diff,debt,equity,firm_value,leverage,ROE,V0,r,alpha,pi,xi,opt
0.02,0.02,0.0,0.001,0.2,0.225,0.15,1.0,3.0,2.0,19.949798927261146,81.11805798278166,0.23734094096582226,0.804000693271301,0.804000693271301,0.06354752276089427,false,0.0,0.23734094096582226,0.003965636309271249,0.003965636309271249,60.08673772274926,17.200525886883174,77.28726360963243,77.74468252135215,-56.90523674210686,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.001,0.2,0.225,0.15,1.0,3.0,2.0,21.39324721945879,73.69919640818479,0.288563948268191,0.3927397751824186,0.3927397751824186,0.0323174195752635,false,0.0,0.288563948268191,0.004496184322526472,0.004496184322526472,64.46830560664456,23.981843218586107,88.45014882523067,72.88659935895414,-32.50577089543244,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.001,0.2,0.225,0.15,1.0,3.0,2.0,21.874396650191336,72.10910505113532,0.20199457522159037,0.2734297982049351,0.2734297982049351,0.022521743677471475,false,0.0,0.20199457522159037,0.0030780974739833336,0.0030780974739833336,65.8251845257956,25.802697965719133,91.62788249151474,71.83968758842745,-24.49791576725453,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.001,0.2,0.225,0.15,1.0,3.0,2.0,22.355546080923883,69.50603119178902,0.1710481090568834,0.1006809017937448,0.1006809017937448,0.008616820561431203,false,0.0,0.1710481090568834,0.002550420202034187,0.002550420202034187,67.23768635182853,29.020306881222133,96.25799323305066,69.85153553849712,-11.42168043177313,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.001,0.2,0.225,0.15,1.0,3.0,2.0,22.81707885319888,68.89187568908793,-4.545511222264938e-6,0.004833936079214462,0.004833936079214462,0.002213438910157007,false,0.0,4.545511222264938e-6,1.299445647872543e-6,1.299445647872543e-6,68.4512320140854,29.837218591712947,98.28845060579835,69.64320995212357,-5.425091068423948,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.001,0.2,0.225,0.15,1.0,3.0,2.0,22.83669551165643,68.86043518554314,-0.007646282049208253,5.164136388123228e-7,5.164136388123228e-7,0.0008088232789225756,false,0.0,0.007646282049208253,-0.0001116081213137192,0.0001116081213137192,68.50244025292008,29.885177647622157,98.38761790054224,69.62506229408625,-5.1190698974933895,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.001,0.2,0.225,0.15,1.0,3.0,2.0,23.317844942388977,65.5873033539239,-0.05994867286175065,-0.25009108921740764,-0.25009108921740764,-0.11292215002957758,true,0.0,0.05994867286175065,-0.0008569784644888191,0.0008569784644888191,69.89358615430518,34.53775226808045,104.43133842238564,66.92778931130023,14.718918185001018,100.0,0.08,0.6,0.27,1.0,false
