gross_delta,delta,iota,kappa,lambda,sigmah,sigmal,mu_b,m,c,p,vb,debt_diff,eq_deriv,eq_deriv_min_val,eq_min_val,eq_negative,eq_vb,abs_debt_diff,debt_per_diff,abs_debt_per_diff,debt,equity,firm_value,leverage,ROE,V0,r,alpha,pi,xi,opt
0.02,0.02,0.0,0.003,0.1,0.275,0.15,1.0,1.0,5.5,55.8230757286255,61.379159141907174,0.42150677388341506,5.134781488891349e-16,-0.011518323937701108,-0.014403146435683545,true,2.651547228666474e-7,0.42150677388341506,0.00755076226778509,0.00755076226778509,56.24458250250891,52.348650338575275,108.59323284108419,51.79381903549872,19.639243167036224,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.003,0.1,0.275,0.15,1.0,1.0,5.5,57.21681378664182,63.001151289400845,0.3646651521378317,-2.7755575615628914e-17,-0.011030323258594071,-0.015023432242162278,true,2.4718126792514867e-8,0.3646651521378317,0.006373391456183612,0.006373391456183612,57.581478938779654,50.35204235602699,107.93352129480664,53.34902285037397,18.70296534703939,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.003,0.1,0.275,0.15,1.0,1.0,5.5,58.61055184465815,64.62382636863303,0.3091620272227402,4.3021142204224816e-16,-0.005102266731310104,-0.009785081956501249,true,2.2161493065840927e-8,0.3091620272227402,0.005274852692773575,0.005274852692773575,58.91971387188089,48.30181522323775,107.22152909511864,54.951383709154044,17.57906230885662,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.003,0.1,0.275,0.15,1.0,1.0,5.5,60.00428990267448,66.24659344660661,0.251374215062782,-5.35162192338845e-16,0.004048859228317996,0.02206831089150141,false,0.0,0.251374215062782,0.004189270724984913,0.004189270724984913,60.25566411773726,46.19315886838406,106.44882298612131,56.60528921545082,16.225766119794006,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.003,0.1,0.275,0.15,1.0,1.0,5.5,61.398027960690804,67.86870041274776,0.1823882695219865,-1.1258355359089478e-15,-0.005142808757162087,0.021623339281298202,false,0.0,0.1823882695219865,0.0029705883980306004,0.0029705883980306004,61.58041623021279,44.02048424306861,105.6009004732814,58.31429083864067,14.578243499050858,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.003,0.1,0.275,0.15,1.0,1.0,5.5,62.79176601870713,69.49113499953464,0.09548157593882678,-5.967448757360216e-16,0.0007475961943157403,-0.0029655945289037075,false,0.0,0.09548157593882678,0.0015206066335254943,0.0015206066335254943,62.887247594645956,41.77944051000492,104.66668810465087,60.0833452681413,12.574351946954042,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.003,0.1,0.275,0.15,1.0,1.0,5.5,64.08214342873448,70.99350816398234,1.9427013138277605e-6,-1.040960407417106e-15,0.00034422607160094164,-0.0008423589383639717,false,-5.219074008818892e-11,1.9427013138277605e-6,3.137236063481216e-8,3.137236063481216e-8,64.0821453714358,39.642916524461846,103.72506189589765,61.780773325304,10.3710590023248,100.0,0.08,0.6,0.27,1.0,true
0.02,0.02,0.0,0.003,0.1,0.275,0.15,1.0,1.0,5.5,64.18550407672346,71.1138616267565,-0.008239199594484603,-1.0685896612017132e-15,2.7362417730492083e-5,0.00036933529390641325,false,0.0,0.008239199594484603,-0.00012836542632174336,0.00012836542632174336,64.17726487712898,39.46917162147054,103.64643649859951,61.91941280875214,10.179112471709196,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.003,0.1,0.275,0.15,1.0,1.0,5.5,65.57924213473979,72.73700115736767,-0.12779366832062067,1.6566609195578508e-16,-0.0020944271572550448,0.021810279778628736,false,0.0,0.12779366832062067,-0.0019486908381474504,0.0019486908381474504,65.45144846641917,37.087701351052985,102.53914981747215,63.83069157773197,7.349511643068807,100.0,0.08,0.6,0.27,1.0,false
