gross_delta,delta,iota,kappa,lambda,sigmah,sigmal,mu_b,m,c,p,opt_vb,cvml_vb,cvmh_vb,debt_diff,debt_per_diff,eq_deriv,eq_min_val,debt,equity,firm_value,leverage,ROE,p_filter_success,V0,r,alpha,pi,xi
0.02,0.02,0.0,0.0025,0.1,0.35,0.15,1.0,1.0,0.5,6.060614674553586,6.803893245914223,6.428561707235251,6.2512904419557325,-3.4578625385250916e-7,-5.705465079381229e-8,7.453855846004637e-14,0.0012296097921320685,6.060614328767332,95.36037857966949,101.42099290843682,5.9757000547597405,1.5126700034104656,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.1,0.35,0.15,1.0,1.0,1.0,12.121205609114218,13.60724116025428,12.857096357567448,12.502556018129052,2.614124738897772e-7,2.1566540682489127e-8,-2.791321726136924e-15,0.0012337872582555618,12.121205870526692,90.53868708520001,102.6598929557267,11.807148362948427,3.0267745274335844,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.1,0.35,0.15,1.0,1.0,1.5,18.181813649819667,20.41072436968138,19.285650504084956,18.753839511648675,1.8192413264728202e-7,1.0005829789652828e-8,2.1633873410866693e-14,0.0016780381663977213,18.1818138317438,85.50146637829177,103.68328021003556,17.535916875808848,4.50178668402772,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.1,0.35,0.15,1.0,1.0,2.0,24.24245543661873,27.214406898152205,25.714243111640986,25.0051583515571,-9.795427402536916e-8,-4.040608604250839e-9,3.7314104255326226e-16,0.0024247141559800953,24.242455338664456,80.23211949621881,104.47457483488327,23.204167499105328,5.9064412064650185,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.1,0.35,0.15,1.0,1.0,2.5,29.98533009227219,33.64629448655151,31.78067072285241,30.923641021039924,4.449430761610529e-7,1.4838691946757108e-8,1.1472146881911687e-15,0.0030150688788956105,29.985330537215265,75.0443475937802,105.02967813099546,28.549388202272564,7.1837490194378795,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.1,0.35,0.15,1.0,1.0,3.0,35.67752505157815,40.01900982008028,37.78933775959451,36.78904067973488,-3.256201352996868e-8,-9.126757947165492e-10,-8.044807631062823e-16,0.004039950853680201,35.67752501901614,69.67874709203326,105.3562721110494,33.86369345093257,8.327217061583724,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.1,0.35,0.15,1.0,1.0,3.5,42.43291298910115,47.635138727542596,45.009745229280085,43.76805167393009,1.2258784920504695e-7,2.8889802884033325e-9,7.759652935601022e-16,0.003870354169293108,42.432913111689,62.86183245727446,105.29474556896346,40.2991743627865,9.197522152260508,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.1,0.35,0.15,1.0,1.0,4.0,48.48531497329333,54.42914961042049,51.42894678348758,50.01073996625843,-7.451819570292173e-7,-1.536922999138354e-8,-3.4783982751066637e-16,0.004464148101274408,48.48531422811137,56.49991047587211,104.98522470398348,46.18298847749352,9.67728838735129,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.1,0.35,0.15,1.0,1.0,4.5,54.53719662265708,61.2225553244993,57.84755530259871,56.252883248626155,1.1138970563706607e-6,2.042453821155707e-8,-1.5677150032320869e-13,0.005068868391969969,54.537197736554134,49.592913843753905,104.13011158030804,52.37408940495904,9.084595261803363,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.1,0.35,0.15,1.0,1.0,5.0,60.04010395239465,67.37378187515557,63.640487774775984,61.92001894746048,-2.207541172083438e-8,-3.676777731487242e-10,1.526968801000107e-13,-0.0012944744643771944,60.04010393031924,42.6611019392543,102.70120586957354,58.46095323025495,6.759792029647094,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.1,0.35,0.15,1.0,1.0,5.5,63.62832755737666,71.28412712146674,67.25122027656225,65.58167347451229,1.359317515436942e-6,2.1363401610881276e-8,8.00928234621746e-16,0.030692564616926637,63.62832891669417,37.94641334033148,101.57474225702566,62.64188074992941,4.329584564368405,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.1,0.35,0.15,1.0,1.0,6.0,66.22553750136014,74.03794797193856,69.73247642999543,68.2053188450568,-1.739240772735684e-6,-2.6262388171631882e-8,5.699444984984622e-16,-0.0016276708811839358,66.22553576211936,34.47338468589076,100.69892044801011,65.76588454720424,2.0693753810200333,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.1,0.35,0.15,1.0,1.0,6.5,68.19916911045561,76.06236842437946,71.50302897931101,70.17581477186796,6.043756314966231e-6,8.861920744485526e-8,-9.409594872143102e-16,0.00978852105396876,68.19917515421193,31.85451348330674,100.05368863751866,68.16257959393037,0.16882781430676008,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.1,0.35,0.15,1.0,1.0,7.0,69.7524576342452,77.59672064036893,72.79450884604782,71.70603425386965,-8.232737428670589e-6,-1.1802791912852543e-7,8.93373238761804e-17,0.006564613863337284,69.75244940150777,29.85395531460243,99.6064047161102,70.02807660843732,-1.3012467988380294,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.1,0.35,0.15,1.0,1.0,7.5,71.02722489918537,78.80655480508112,73.76855295305253,72.94452454146617,-2.510015008283517e-6,-3.533877343295029e-8,-1.3105817767705125e-15,-0.003383340755265615,71.02722238917036,28.278998842308766,99.30622123147913,71.52343680826253,-2.3945883885898023,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.1,0.35,0.15,1.0,1.0,8.0,72.1094585934016,79.79315577798403,74.5231630371422,73.98135100018555,1.0281623929131456e-5,1.4258356850390053e-7,-4.1089461804491954e-16,0.007878535299984796,72.10946887502553,27.00597025681499,99.11543913184052,72.75301356341424,-3.17154544026379,true,100.0,0.08,0.6,0.27,1.0
