gross_delta,delta,iota,kappa,lambda,sigmah,sigmal,mu_b,m,c,p,vb,debt_diff,eq_min_val,eq_vb,abs_debt_diff,debt_per_diff,abs_debt_per_diff,debt,equity,firm_value,leverage,ROE,V0,r,alpha,pi,xi
0.02,0.0198,0.0002,0.01,NaN,NaN,0.25,1.0,3.0,0.25,2.777847734773477,7.547391951628878,-2.5948468897141197e-5,2.220446049250313e-15,2.220446049250313e-15,2.5948468897141197e-5,-3.1137378496686147e-6,3.1137378496686147e-6,8.333517255851534,92.13798551463911,100.47150277049064,8.294408888148094,0.5143676907585215,100.0,0.08,0.6,0.27,1.0
0.02,0.0198,0.0002,0.01,NaN,NaN,0.25,1.0,3.0,0.5,5.555565506550655,15.09443693639277,-6.35304446916507e-6,2.6645352591003757e-15,2.6645352591003757e-15,6.35304446916507e-6,-3.811819853846919e-7,3.811819853846919e-7,16.666690166607495,85.15496768068024,101.82165784728774,16.368511885363542,2.1859900331929305,100.0,0.08,0.6,0.27,1.0
0.02,0.0198,0.0002,0.01,NaN,NaN,0.25,1.0,3.0,1.0,11.093519301930195,30.141855256824844,-0.00017508968284829507,-1.7763568394002505e-15,-1.7763568394002505e-15,0.00017508968284829507,-5.261020062942835e-6,5.261020062942835e-6,33.28038281610774,70.3152950278122,103.59567784391993,32.12526189195737,5.389236323118496,100.0,0.08,0.6,0.27,1.0
0.02,0.0198,0.0002,0.01,NaN,NaN,0.25,1.0,3.0,1.5,16.14114406440644,43.88022460021786,-0.00018272423383081104,1.0658141036401503e-14,1.0658141036401503e-14,0.00018272423383081104,-3.7734672152462114e-6,3.7734672152462114e-6,48.42324946898549,55.187192282859584,103.61044175184507,46.73587782297355,7.000134197430707,100.0,0.08,0.6,0.27,1.0
0.02,0.0198,0.0002,0.01,NaN,NaN,0.25,1.0,3.0,2.0,19.682838233823382,53.598157114358465,0.0003840954907161631,1.7763568394002505e-14,1.7763568394002505e-14,0.0003840954907161631,6.504744321817805e-6,6.504744321817805e-6,59.04889879696086,43.85996789837466,102.90886669533552,57.37979699239787,7.103268556596598,100.0,0.08,0.6,0.27,1.0
0.02,0.0198,0.0002,0.01,NaN,NaN,0.25,1.0,3.0,2.5,21.964646414641464,59.95252689023782,0.000542214887431669,2.4868995751603507e-14,2.4868995751603507e-14,0.000542214887431669,8.228600287873406e-6,8.228600287873406e-6,65.89448145881182,36.50013065041436,102.39461210922619,64.3534655793422,7.02118663387068,100.0,0.08,0.6,0.27,1.0
0.02,0.0198,0.0002,0.01,NaN,NaN,0.25,1.0,3.0,3.0,23.55000495049505,64.44756011020942,-0.002230161363556249,3.552713678800501e-14,3.552713678800501e-14,0.002230161363556249,-3.1566325474160436e-5,3.1566325474160436e-5,70.6477846901216,31.43656914927445,102.08435383939604,69.20530133468645,7.101180668617424,100.0,0.08,0.6,0.27,1.0
0.02,0.0198,0.0002,0.01,NaN,NaN,0.25,1.0,3.0,3.5,24.729942944294432,67.86022759159879,-0.0035130071843525457,2.842170943040401e-14,2.842170943040401e-14,0.0035130071843525457,-4.735160115095816e-5,4.735160115095816e-5,74.18631582569894,27.710816131223414,101.89713195692235,72.80510687686643,7.349326597909855,100.0,0.08,0.6,0.27,1.0
0.02,0.0198,0.0002,0.01,NaN,NaN,0.25,1.0,3.0,4.0,25.64895484548455,70.57629134020384,0.002476001805263195,2.4868995751603507e-14,2.4868995751603507e-14,0.002476001805263195,3.2178072754221026e-5,3.2178072754221026e-5,76.94934053825891,24.834151747822037,101.78349228608094,75.6010024906385,7.73727228516452,100.0,0.08,0.6,0.27,1.0
0.02,0.0198,0.0002,0.01,NaN,NaN,0.25,1.0,3.0,4.5,26.3974896989699,72.83722641004151,-0.0053022932554256386,2.1316282072803006e-14,2.1316282072803006e-14,0.0053022932554256386,-6.695451367903553e-5,6.695451367903553e-5,79.18716680365426,22.49509333251823,101.68226013617249,77.87707186839387,8.082802184124848,100.0,0.08,0.6,0.27,1.0
