gross_delta,delta,iota,kappa,lambda,sigmah,sigmal,mu_b,m,c,p,vb,debt_diff,eq_deriv,eq_deriv_min_val,eq_min_val,eq_negative,eq_vb,abs_debt_diff,debt_per_diff,abs_debt_per_diff,debt,equity,firm_value,leverage,ROE,V0,r,alpha,pi,xi,opt
0.02,0.02,0.0,0.004,0.2,0.2,0.15,1.0,7.0,11.0,4.25,89.75018287632399,161.78195087400607,-1.7310824756459984,-1.7310824756459984,-2.7512799586189933,true,0.0,161.78195087400607,5.438048768874154,5.438048768874154,191.53195087400607,2.4196059359569535,193.95155680996302,98.75246892793558,-102.64345500434875,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.004,0.2,0.2,0.15,1.0,7.0,11.0,4.25,89.75018287632396,161.78195087400604,-1.731082475645998,-1.731082475645998,-2.7512799586189924,true,0.0,161.78195087400604,5.438048768874152,5.438048768874152,191.53195087400607,2.4196059359569535,193.95155680996302,98.75246892793558,-102.64345500434875,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.004,0.2,0.2,0.15,1.0,7.0,11.0,4.5002842389502105,89.82155873808532,165.73552111805418,-1.6485986619208552,-1.6485986619208552,-2.4981436567810356,true,0.0,165.73552111805418,5.261112800818987,5.261112800818987,197.23751079070564,2.8218047731388824,200.05931556384454,98.58951593171957,-102.90197142048663,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.004,0.2,0.2,0.15,1.0,7.0,11.0,4.750568477900422,89.89284448931417,169.58847301828737,-1.557874423065489,-1.557874423065489,-2.2290481092358734,true,0.0,169.58847301828737,5.099794862362581,5.099794862362581,202.84245236359033,3.308994538572542,206.15144690216286,98.39487202816338,-103.21753756597896,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.004,0.2,0.2,0.15,1.0,7.0,11.0,5.000852716850632,89.96412964478701,173.19088166797883,-1.4608386212883513,-1.4608386212883513,-1.957256364089662,true,0.0,173.19088166797883,4.947467147078542,4.947467147078542,208.19685068593324,3.857293667286061,212.0541443532193,98.18098642728673,-103.56507018719311,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.004,0.2,0.2,0.15,1.0,7.0,11.0,5.251136955800844,90.03553271946298,176.4138013258808,-1.3659868738845724,-1.3659868738845724,-1.7072268639326418,true,0.0,176.4138013258808,4.799336187593198,4.799336187593198,213.1717600164867,4.401320752090491,217.5730807685772,97.9770839588506,-103.88906274096057,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.004,0.2,0.2,0.15,1.0,7.0,11.0,5.501421194751054,90.10682971013443,179.21201845311776,-1.260895699519696,-1.260895699519696,-1.4494999376801494,true,0.0,179.21201845311776,4.653655122116581,4.653655122116581,217.72196681637516,5.03880122994911,222.76076804632427,97.73802125296082,-104.28025572984923,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.004,0.2,0.2,0.15,1.0,7.0,11.0,5.7517054337012645,90.17815876248451,181.61929345146243,-1.149371961811539,-1.149371961811539,-1.1998162155463827,true,0.0,181.61929345146243,4.510942649841636,4.510942649841636,221.88123148737128,5.724259272511718,227.605490759883,97.48500826873696,-104.69658798377407,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.004,0.2,0.2,0.15,1.0,7.0,11.0,6.001989672651476,90.24948144263755,183.67753487875427,-1.0388608829990702,-1.0388608829990702,-0.9757891474710023,true,0.0,183.67753487875427,4.37182488990026,4.37182488990026,225.69146258731462,6.417826138362619,232.10928872567723,97.2349981452282,-105.10601595864502,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.004,0.2,0.2,0.15,1.0,7.0,11.0,6.252273911601686,90.3207232219529,185.42010225814448,-0.926356340774528,-0.926356340774528,-0.7721465385436325,true,0.0,185.42010225814448,4.236632369500911,4.236632369500911,229.1860196393563,7.128847922481483,236.31486756183776,96.98332652700489,-105.5182812678824,100.0,0.08,0.6,0.27,1.0,false
