gross_delta,delta,iota,kappa,lambda,sigmah,sigmal,mu_b,m,c,p,vb,debt_diff,eq_deriv,eq_deriv_min_val,eq_min_val,eq_negative,eq_vb,abs_debt_diff,debt_per_diff,abs_debt_per_diff,debt,equity,firm_value,leverage,ROE,V0,r,alpha,pi,xi
0.02,0.02,0.0,0.0025,0.75,0.2,0.15,1.0,1.0,2.5,29.110700543738584,22.91430040025111,0.04786321673548599,6.445021742912249,-1.0128536558430534,0.19811082036826783,false,0.0,0.04786321673548599,0.0016441794886925482,0.0016441794886925482,29.15856376047407,77.96552863839285,107.12409239886692,27.21942665512141,10.056391819583176,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.75,0.2,0.15,1.0,1.0,2.5,29.110700543738584,24.910327308424826,0.04786321673548599,0.6525095973162188,-0.35450572789207546,-0.42359893853765285,true,0.0,0.04786321673548599,0.0016441794886925482,0.0016441794886925482,29.15856376047407,77.96219488190475,107.12075864237882,27.220273763948533,10.051685878166584,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.75,0.2,0.15,1.0,1.0,2.5,29.110700543738584,26.906354216598537,0.04786321673548599,-1.2013547913592741,-1.2013547913592741,-1.2582779246832316,true,0.0,0.04786321673548599,0.0016441794886925482,0.0016441794886925482,29.15856376047407,77.95477022613883,107.1133339866129,27.222160561371684,10.041205210128169,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.75,0.2,0.15,1.0,1.0,2.5,29.110700543738584,28.902381124772248,0.04786321673548599,-1.3189842003513483,-1.3189842003513483,-0.8570316979595345,true,0.0,0.04786321673548599,0.0016441794886925482,0.0016441794886925482,29.15856376047407,77.93919635202393,107.097760112498,27.22611913624079,10.019221079170904,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.75,0.2,0.15,1.0,1.0,2.5,29.110700543738584,30.898408032945962,0.04786321673548599,-0.47762302747721225,-0.47762302747721225,-0.11054417032070275,true,0.0,0.04786321673548599,0.0016441794886925482,0.0016441794886925482,29.15856376047407,77.90814992726897,107.06671368774303,27.23401396769698,9.975395845800428,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.75,0.2,0.15,1.0,1.0,2.5,29.110700543738584,31.410034766316382,0.04786321673548599,-0.1866047160238619,-0.1866047160238619,-0.017241048851215492,false,0.0,0.04786321673548599,0.0016441794886925482,0.0016441794886925482,29.15856376047407,77.89632401017153,107.05488777064559,27.23702239821444,9.958702343063619,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.75,0.2,0.15,1.0,1.0,2.5,29.110700543738584,32.89443494111968,-0.011025760206539559,0.7091536866502606,0.7091536866502606,0.02657971369729265,false,0.0,0.011025760206539559,-0.00037875282973604316,0.00037875282973604316,29.099674783532045,77.8502378540101,106.94991263754216,27.208694299874832,9.802370604539746,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.75,0.2,0.15,1.0,1.0,2.5,29.110700543738584,34.89046184929339,-0.07280014048247807,1.8608091690978166,1.003279097418591,0.0702716550176238,false,0.0,0.07280014048247807,-0.0025008034544924972,0.0025008034544924972,29.037900403256106,77.7823697877907,106.8202701910468,27.183885934122955,9.611144864377374,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.75,0.2,0.15,1.0,1.0,2.5,29.110700543738584,36.8864887574671,-0.10025553623165706,2.866416212700749,1.0033544494927809,0.11011827112573899,false,0.0,0.10025553623165706,-0.003443941037455418,0.003443941037455418,29.010445007506927,77.73707891894776,106.74752392645469,27.17669126217308,9.504953126087656,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.75,0.2,0.15,1.0,1.0,2.5,29.110700543738584,38.88251566564081,-0.09583228468857286,3.742034110671279,1.0034726882836744,0.14620377704304577,false,0.0,0.09583228468857286,-0.003291995139195831,0.003291995139195831,29.01486825905001,77.72327700668663,106.73814526573665,27.18322319243437,9.492333254133477,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.75,0.2,0.15,1.0,1.0,2.5,29.110700543738584,40.87854257381453,-0.07011056274122751,4.5012624516308355,1.0036494123303248,0.17862275895813526,false,0.0,0.07011056274122751,-0.0024084120763733247,0.0024084120763733247,29.040589980997357,77.73748816505578,106.77807814605313,27.197146160726994,9.552049748212376,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.75,0.2,0.15,1.0,1.0,2.5,29.110700543738584,42.87456948198824,-0.035699243413770176,5.130913793927997,1.0039039302823962,0.2064806600010061,false,0.0,0.035699243413770176,-0.0012263271837148805,0.0012263271837148805,29.075001300324814,77.77065448802838,106.8456557883532,27.212151103193623,9.651964630045939,100.0,0.08,0.6,0.27,1.0
