eq_type,sf_defaults_first,kappa,mu_s,m,c,p,vb,sf_vb,s_eq_deriv,s_eq_min_val,s_mu_b,s_eq_deriv_min_val,s_eq_negative,s_eq_vb,s_MBR,s_debt,s_equity,s_firm_value,s_leverage,s_iota,s_lambda,s_sigmah,s_delta,s_sigmal,s_obj_fun,rf_vb,r_eq_deriv,r_eq_min_val,r_mu_b,r_eq_deriv_min_val,r_eq_negative,r_eq_vb,r_MBR,r_debt,r_equity,r_firm_value,r_leverage,r_iota,r_lambda,r_sigmah,r_delta,r_sigmal,r_obj_fun,V0,alpha,pi,r,gross_delta,xi
misrep,true,0.0025,1,1,4.561206120612061,55.27885638974009,60.41983346736209,60.41983346736209,37989479920782694e-22,0.00025251404553897804,1,37989479920782694e-22,false,0,14.755805601402617,55.27862310380973,51.32037633326269,106.59899943707242,51.856605967902944,0.001,NaN,NaN,0.019,0.15,firm_value,58.63422364425949,0.25983389852083627,0.800164815606937,1,0.25983389852083627,false,0.7917966263383529,25.752585227789602,55.27862310380973,56.23828759642268,111.51691070023242,49.56972243645063,0,NaN,NaN,0.02,0.15,misrep,100,0.6,0.27,0.08,0.02,1
misrep,true,0.0025,1,1,4.561206120612061,55.27885638974009,60.41986429813591,60.41986429813591,9408740714985853e-21,0.00025268870484940464,1,9408740714985853e-21,false,0,14.755793144894568,55.278623095776204,51.32037077175971,106.59899386753591,51.85660866974747,0.001,NaN,NaN,0.019,0.15,firm_value,59.51631491931461,0.6198453502643397,0.1385578738438782,1,0.6198453502643397,false,0.11904399488781547,17.609561431909814,55.278623095776204,52.596615243369016,107.87523833914523,51.24310633918384,0,NaN,NaN,0.02,0.2,misrep,100,0.6,0.27,0.08,0.02,1
misrep,true,0.0025,1,1,4.561206120612061,55.27885638974009,60.41975265015872,60.41975265015872,-1090454564698749e-20,0.00025205625606381925,1,-1090454564698749e-20,false,0,14.755838253971776,55.27862312486767,51.320390911775995,106.59901403664367,51.85659888548829,0.001,NaN,NaN,0.019,0.15,firm_value,59.23310299477338,0.7291036838327645,0.156597100279362,1,0.7291036838327645,false,0.1337131481458423,9.101613133607355,55.27862312486767,48.79174358632942,104.0703667111971,53.11658339618415,0,NaN,NaN,0.02,0.25,misrep,100,0.6,0.27,0.08,0.02,1
misrep,true,0.0025,1,1,4.561206120612061,55.27885638974009,60.419827048924496,60.419827048924496,2632181070065383e-21,0.0002524777177955154,1,2632181070065383e-21,false,0,14.755808194795272,55.27862310548217,51.32037749114438,106.59900059662655,51.85660540539019,0.001,NaN,NaN,0.019,0.15,firm_value,58.3074080625564,0.7719584202002497,0.3286583919030299,1,0.7719584202002497,false,0.3044587285004756,2.156086607940666,55.27862310548217,45.685608512627205,100.96423161810938,54.750699549291824,0,NaN,NaN,0.02,0.3,misrep,100,0.6,0.27,0.08,0.02,1
