sf_defaults_first,kappa,mu_s,m,c,p,vb,sf_vb,s_eq_deriv,s_eq_min_val,s_mu_b,s_eq_deriv_min_val,s_eq_negative,s_eq_vb,s_MBR,s_debt,s_equity,s_firm_value,s_leverage,s_iota,s_lambda,s_sigmah,s_delta,s_obj_fun,rf_vb,r_eq_deriv,r_eq_min_val,r_mu_b,r_eq_deriv_min_val,r_eq_negative,r_eq_vb,r_MBR,r_debt,r_equity,r_firm_value,r_leverage,r_iota,r_lambda,r_sigmah,r_delta,r_obj_fun,V0,alpha,pi,r,gross_delta,xi,sigmal
true,25,1,1,4.078757875787579,49.41672639280492,53.591785087298476,53.591785087298476,9432064252309908e-21,0.00105208186934233,1,9432064252309908e-21,false,0,17.78805078235497,49.417640159239596,59.57997569614839,108.99761585538798,45.3382762287243,0,0.1,0.225,0.02,firm_value,53.5182297462677,0.10095580972336045,0.0092133187420671,1,0.10095580972336045,false,0.0016002970727014452,19.447157869911138,49.417640159239596,60.41919121331961,109.8368313725592,44.99186615427593,0,0.1,0.2,0.02,misrep,100,0.6,0.27,0.08,0.02,1,0.15
false,25,1,1,4.078757875787579,49.41672639280492,53.96341141731168,53.96341141731168,0.0800853849672749,0.007477156470798064,1,0.0800853849672749,false,0,17.737556833144595,49.417640159239596,59.55443466506099,108.97207482430059,45.348902678890305,0,0.1,0.225,0.02,firm_value,53.96341141731168,-0.003872822422016998,0.0011232426196935111,1,-0.003872822422016998,false,0,16.01196439185135,49.417640159239596,58.68158928702108,108.09922944626068,45.71507161742218,0,0.1,0.25,0.02,misrep,100,0.6,0.27,0.08,0.02,1,0.15
false,25,1,1,4.078757875787579,49.41672639280492,54.17549975356524,53.99694242346611,0.16217920574053424,0.0245034847614383,1,0.16217920574053424,false,0.00901728092488733,17.730747364016054,49.417640159239596,59.55099027488315,108.96863043412274,45.3503361126624,0,0.1,0.225,0.02,firm_value,54.17549975356524,0.009776726514026453,0.00259277504493487,1,0.009776726514026453,false,0,14.314852204000616,49.417640159239596,57.82314989326102,107.24079005250061,46.08101090550227,0,0.1,0.275,0.02,misrep,100,0.6,0.27,0.08,0.02,1,0.15
false,25,1,1,4.078757875787579,49.41672639280492,54.27811907698207,53.99694242346611,0.20925883495970315,0.04380971346403584,1,0.20925883495970315,false,0.022121264211578985,17.729802278597173,49.417640159239596,59.55051222837576,108.96815238761536,45.35053506592821,0,0.1,0.225,0.02,firm_value,54.27811907698207,0.00179498713896814,0.0022965390729112523,1,0.00179498713896814,false,0,12.724299869457244,49.417640159239596,57.01861098794667,106.43625114718627,46.42933176113277,0,0.1,0.3,0.02,misrep,100,0.6,0.27,0.08,0.02,1,0.15
false,25,1,1,4.078757875787579,49.41672639280492,54.44340981995365,53.99694242346611,0.28574487924076936,0.08895107833862864,1,0.28574487924076936,false,0.05482350941311979,17.729290264171517,49.417640159239596,59.55025323939654,108.96789339863614,45.350642852620396,0,0.1,0.225,0.02,firm_value,54.44340981995365,-0.00021545911178206777,0.0028180434795841112,1,-0.00021545911178206777,false,0,9.961046489890602,49.417640159239596,55.620892220182306,105.0385323794219,47.04715406793042,0,0.1,0.35,0.02,misrep,100,0.6,0.27,0.08,0.02,1,0.15
