c,p,vb,debt,debt_diff,abs_debt_diff,debt_per_diff,abs_debt_per_diff,count,time
5.0,4.25,81.11760601733708,-3916.094591397241,-3958.594591397241,3958.594591397241,-93.14340215052331,93.14340215052331,1,73032150
5.0,4.25,81.47811762531015,-3824.083683385275,-3866.583683385275,3866.583683385275,-90.97843960906529,90.97843960906529,1,73032150
5.0,4.25,81.8386292332832,-3733.347944602815,-3775.847944602815,3775.847944602815,-88.843481049478,88.843481049478,1,73032150
5.0,4.25,82.19914084125625,-3643.8618147601283,-3686.3618147601283,3686.3618147601283,-86.7379250531795,86.7379250531795,1,73032150
5.0,4.25,82.55965244922932,-3555.615996999135,-3598.115996999135,3598.115996999135,-84.66155287056787,84.66155287056787,1,73032150
5.0,4.25,82.92016405720238,-3468.538372588957,-3511.038372588957,3511.038372588957,-82.6126675903284,82.6126675903284,1,73032150
5.0,4.25,83.28067566517544,-3382.5841010311037,-3425.0841010311037,3425.0841010311037,-80.59021414190832,80.59021414190832,1,73032150
5.0,4.25,83.64118727314849,-3297.7074645906996,-3340.2074645906996,3340.2074645906996,-78.59311681389882,78.59311681389882,1,73032150
5.0,4.25,84.00169888112156,-3213.8616181598636,-3256.3616181598636,3256.3616181598636,-76.62027336846738,76.62027336846738,1,73032150
5.0,4.25,84.36221048909462,-3130.998154368184,-3173.498154368184,3173.498154368184,-74.67054480866315,74.67054480866315,1,73032150
5.0,4.25,84.72272209706767,-3049.0683344613694,-3091.5683344613694,3091.5683344613694,-72.74278434026752,72.74278434026752,1,73032150
5.0,4.25,85.08323370504073,-2968.0254142828467,-3010.5254142828467,3010.5254142828467,-70.83589210077287,70.83589210077287,1,73032150
5.0,4.25,85.44374531301379,-2887.824513489449,-2930.324513489449,2930.324513489449,-68.94881208210468,68.94881208210468,1,73032150
5.0,4.25,85.80425692098686,-2808.4223948665376,-2850.9223948665376,2850.9223948665376,-67.08052693803617,67.08052693803617,1,73032150
5.0,4.25,86.16476852895991,-2729.7773389303848,-2772.2773389303848,2772.2773389303848,-65.23005503365611,65.23005503365611,1,73032150
5.0,4.25,86.52528013693296,-2651.8491025373232,-2694.3491025373232,2694.3491025373232,-63.396449471466426,63.396449471466426,1,73032150
5.0,4.25,86.88579174490602,-2574.59895119851,-2617.09895119851,2617.09895119851,-61.578798851729644,61.578798851729644,1,73032150
5.0,4.25,87.24630335287907,-2497.989755702442,-2540.489755702442,2540.489755702442,-59.77622954593981,59.77622954593981,1,73032150
5.0,4.25,87.60681496085213,-2421.9861396756387,-2464.4861396756387,2464.4861396756387,-57.987909168838556,57.987909168838556,1,73032150
5.0,4.25,87.9673265688252,-2346.553895325825,-2389.053895325825,2389.053895325825,-56.21303283119588,56.21303283119588,1,73032150
5.0,4.25,88.32783817679825,-2271.658257698783,-2314.158257698783,2314.158257698783,-54.450782534089015,54.450782534089015,1,73032150
5.0,4.25,88.6883497847713,-2197.26399488399,-2239.76399488399,2239.76399488399,-52.700329291388,52.700329291388,1,73032150
5.0,4.25,89.04886139274437,-2123.335387964676,-2165.835387964676,2165.835387964676,-50.96083265799238,50.96083265799238,1,73032150
5.0,4.25,89.40937300071744,-2049.8361511813946,-2092.3361511813946,2092.3361511813946,-49.231438851326935,49.231438851326935,1,73032150
5.0,4.25,89.76988460869049,-1976.72906301816,-2019.22906301816,2019.22906301816,-47.51127207101553,47.51127207101553,1,73032150
5.0,4.25,90.13039621666354,-1904.003855311796,-1946.503855311796,1946.503855311796,-45.80009071321873,45.80009071321873,1,73032150
5.0,4.25,90.49090782463661,-1831.6011782556266,-1874.1011782556266,1874.1011782556266,-44.09649831189709,44.09649831189709,1,73032150
5.0,4.25,90.85141943260967,-1759.4841105791738,-1801.9841105791738,1801.9841105791738,-42.39962613127468,42.39962613127468,1,73032150
5.0,4.25,91.21193104058273,-1687.638295417582,-1730.138295417582,1730.138295417582,-40.709136362766635,40.709136362766635,1,73032150
5.0,4.328947368421052,81.43953738071636,-3826.216498419091,-3869.5059721033012,3869.5059721033012,-89.38676409721913,89.38676409721913,1,70467328
5.0,4.328947368421052,81.78855143999729,-3738.3678694693112,-3781.6573431535217,3781.6573431535217,-87.35743406676829,87.35743406676829,1,70467328
5.0,4.328947368421052,82.13756549927824,-3651.70923318401,-3694.9987068682203,3694.9987068682203,-85.3555932285668,85.3555932285668,1,70467328
5.0,4.328947368421052,82.48657955855919,-3566.191062104078,-3609.4805357882883,3609.4805357882883,-83.3800974832553,83.3800974832553,1,70467328
5.0,4.328947368421052,82.83559361784013,-3481.7699025854267,-3525.059376269637,3525.059376269637,-81.42994303844756,81.42994303844756,1,70467328
5.0,4.328947368421052,83.18460767712108,-3398.407247896958,-3441.6967215811683,3441.6967215811683,-79.50424037695102,79.50424037695102,1,70467328
5.0,4.328947368421052,83.53362173640201,-3316.0631473046274,-3359.3526209888378,3359.3526209888378,-77.60206662466618,77.60206662466618,1,70467328
5.0,4.328947368421052,83.88263579568294,-3234.696479365821,-3277.985953050031,3277.985953050031,-75.72247186376973,75.72247186376973,1,70467328
5.0,4.328947368421052,84.23164985496389,-3154.265254079861,-3197.5547277640712,3197.5547277640712,-73.86448611248312,73.86448611248312,1,70467328
5.0,4.328947368421052,84.58066391424484,-3074.726606749224,-3118.0160804334346,3118.0160804334346,-72.02711918326476,72.02711918326476,1,70467328
5.0,4.328947368421052,84.92967797352577,-2996.037060960845,-3039.3265346450553,3039.3265346450553,-70.20936675775813,70.20936675775813,1,70467328
5.0,4.328947368421052,85.27869203280672,-2918.1546680181386,-2961.444141702349,2961.444141702349,-68.41025980832175,68.41025980832175,1,70467328
5.0,4.328947368421052,85.62770609208766,-2841.0391727284104,-2884.328646412621,2884.328646412621,-66.62886842776877,66.62886842776877,1,70467328
5.0,4.328947368421052,85.9767201513686,-2764.6518286929045,-2807.941302377115,2807.941302377115,-64.86429756251087,64.86429756251087,1,70467328
5.0,4.328947368421052,86.32573421064954,-2688.955290901497,-2732.2447645857073,2732.2447645857073,-63.11568453146316,63.11568453146316,1,70467328
5.0,4.328947368421052,86.67474826993049,-2613.9135767747675,-2657.203050458978,2657.203050458978,-61.38219812610406,61.38219812610406,1,70467328
5.0,4.328947368421052,87.02376232921142,-2539.49208753983,-2582.7815612240406,2582.7815612240406,-59.66303910426356,59.66303910426356,1,70467328
5.0,4.328947368421052,87.37277638849237,-2465.6576825146403,-2508.9471561988507,2508.9471561988507,-57.957441906113274,57.957441906113274,1,70467328
5.0,4.328947368421052,87.72179044777332,-2392.378753640463,-2435.6682273246734,2435.6682273246734,-56.26467637588912,56.26467637588912,1,70467328
5.0,4.328947368421052,88.07080450705425,-2319.624370082401,-2362.9138437666115,2362.9138437666115,-54.5840280019035,54.5840280019035,1,70467328
5.0,4.328947368421052,88.4198185663352,-2247.363281215448,-2290.6527548996582,2290.6527548996582,-52.914774885220076,52.914774885220076,1,70467328
5.0,4.328947368421052,88.76883262561614,-2175.5639426722505,-2218.853416356461,2218.853416356461,-51.25618834136506,51.25618834136506,1,70467328
5.0,4.328947368421052,89.11784668489707,-2104.1944216926136,-2147.483895376824,2147.483895376824,-49.60753071387193,49.60753071387193,1,70467328
5.0,4.328947368421052,89.466860744178,-2033.2223269323567,-2076.511800616567,2076.511800616567,-47.96805375284472,47.96805375284472,1,70467328
5.0,4.328947368421052,89.81587480345895,-1962.6147545581675,-2005.904228242378,2005.904228242378,-46.33699736973275,46.33699736973275,1,70467328
5.0,4.328947368421052,90.1648888627399,-1892.343016045034,-1935.6324897292443,1935.6324897292443,-44.71369885088833,44.71369885088833,1,70467328
5.0,4.328947368421052,90.51390292202085,-1822.3947093338502,-1865.6841830180606,1865.6841830180606,-43.097871704976484,43.097871704976484,1,70467328
5.0,4.328947368421052,90.8629169813018,-1752.7139205368508,-1796.0033942210612,1796.0033942210612,-41.48822430419473,41.48822430419473,1,70467328
5.0,4.328947368421052,91.21193104058273,-1683.2691531484375,-1726.5586268326479,1726.5586268326479,-39.88402906969035,39.88402906969035,1,70467328
5.0,4.407894736842105,81.76132201485241,-3737.7209257909326,-3781.799873159354,3781.799873159354,-85.7960568239137,85.7960568239137,1,73742925
5.0,4.407894736842105,82.09884376577135,-3653.9522922021583,-3698.0312395705796,3698.0312395705796,-83.89563409175045,83.89563409175045,1,73742925
5.0,4.407894736842105,82.43636551669029,-3571.2405612109815,-3615.3195085794027,3615.3195085794027,-82.0191888513536,82.0191888513536,1,73742925
5.0,4.407894736842105,82.77388726760923,-3489.5539667749163,-3533.6329141433375,3533.6329141433375,-80.16600044026676,80.16600044026676,1,73742925
5.0,4.407894736842105,83.11140901852816,-3408.8591210263503,-3452.9380683947716,3452.9380683947716,-78.33531140238884,78.33531140238884,1,73742925
5.0,4.407894736842105,83.44893076944712,-3329.121264452189,-3373.20021182061,3373.20021182061,-76.52633316369145,76.52633316369145,1,73742925
5.0,4.407894736842105,83.78645252036605,-3250.304474909071,-3294.383422277492,3294.383422277492,-74.73825077405654,74.73825077405654,1,73742925
5.0,4.407894736842105,84.123974271285,-3172.3719032326853,-3216.4508506011066,3216.4508506011066,-72.97022825244301,72.97022825244301,1,73742925
5.0,4.407894736842105,84.46149602220393,-3095.2860311041027,-3139.364978472524,3139.364978472524,-71.2214144369886,71.2214144369886,1,73742925
5.0,4.407894736842105,84.79901777312287,-3019.0088599035184,-3063.0878072719397,3063.0878072719397,-69.49094726945296,69.49094726945296,1,73742925
