comb_num,m,m_comb_num,gross_delta,delta,iota,kappa,lambda,sigmah,sigmal,mu_b,c,p,vb,cvml_vb,cvmh_vb,debt_diff,eq_deriv,eq_min_val,sg_debt,debt,sg_equity,equity,firm_value,leverage,ROE,V0,r,alpha,pi,xi,abs_debt_diff,debt_per_diff,abs_debt_per_diff,eq_vb
51,1.0,11,0.02,0.0199,0.0001,0.01,NaN,NaN,0.15,1.0,4.705770577057706,52.283124055333914,57.39100847398602,NaN,NaN,2.7872544130502774e-5,NaN,NaN,52.28311068825007,52.283151927878045,55.142127565185085,55.14088850036819,107.42404042824623,48.669880335398965,15.558530641053903,100.0,0.08,0.6,0.27,1.0,2.7872544130502774e-5,5.331078552422352e-7,5.331078552422352e-7,3.268496584496461e-13
56,1.0,12,0.02,0.0199,0.0001,0.015000000000000001,NaN,NaN,0.15,1.0,4.6653415341534155,49.10767174848716,55.015452545754954,NaN,NaN,2.8615898152395403e-5,NaN,NaN,49.10767895588316,49.10770036438531,55.940489805153696,55.94043112456755,105.04813148895286,46.74780947393587,9.91924421788195,100.0,0.08,0.6,0.27,1.0,2.8615898152395403e-5,5.827174682391038e-7,5.827174682391038e-7,7.460698725481052e-14
61,1.0,13,0.02,0.0198,0.0002,0.0025,NaN,NaN,0.15,1.0,4.634713471347134,56.17382991265862,59.93719040527913,NaN,NaN,-0.0003001934213102686,NaN,NaN,56.173735483786004,56.17352971923731,54.597169199275704,54.59727191932802,110.77080163856533,50.71149516686376,24.57601894372292,100.0,0.08,0.6,0.27,1.0,0.0003001934213102686,-5.34400844266844e-6,5.34400844266844e-6,1.7550405573274475e-12
66,1.0,14,0.02,0.0198,0.0002,0.005,NaN,NaN,0.15,1.0,4.669016901690169,54.92326720023115,59.22401326526505,NaN,NaN,-6.025992333036356e-5,NaN,NaN,54.92331423664567,54.92320694030782,54.523482716247194,54.522317295908906,109.44552423621673,50.1831457463412,20.95429509306186,100.0,0.08,0.6,0.27,1.0,6.025992333036356e-5,-1.0971656713479338e-6,1.0971656713479338e-6,2.948752353404416e-13
71,1.0,15,0.02,0.01985,0.00015000000000000001,0.01,NaN,NaN,0.15,1.0,4.700870087008701,52.22966752575841,57.41735764396648,NaN,NaN,-1.6707471232280113e-5,NaN,NaN,52.22960632317608,52.229650818287176,54.93830426047658,54.93724683305782,107.166897651345,48.73673864126426,15.002816127809648,100.0,0.08,0.6,0.27,1.0,1.6707471232280113e-5,-3.198846943461854e-7,3.198846943461854e-7,3.410605131648481e-13
76,1.0,16,0.02,0.01985,0.00015000000000000001,0.015000000000000001,NaN,NaN,0.15,1.0,4.6653415341534155,49.10536058762772,55.09421283953121,NaN,NaN,0.0001338406998243613,NaN,NaN,49.105472357603084,49.105494428327546,55.68909760820282,55.688837531751766,104.79433196007932,46.85892214765389,9.420136626197628,100.0,0.08,0.6,0.27,1.0,0.0001338406998243613,2.7255822627658898e-6,2.7255822627658898e-6,7.460698725481052e-14
81,1.0,17,0.02,0.0198,0.0002,0.0025,NaN,NaN,0.15,1.0,4.634713471347134,56.17382991265862,59.93719040527913,NaN,NaN,-0.0003001934213102686,NaN,NaN,56.173735483786004,56.17352971923731,54.597169199275704,54.59727191932802,110.77080163856533,50.71149516686376,24.57601894372292,100.0,0.08,0.6,0.27,1.0,0.0003001934213102686,-5.34400844266844e-6,5.34400844266844e-6,1.7550405573274475e-12
86,1.0,18,0.02,0.0198,0.0002,0.005,NaN,NaN,0.15,1.0,4.669016901690169,54.92326720023115,59.22401326526505,NaN,NaN,-6.025992333036356e-5,NaN,NaN,54.92331423664567,54.92320694030782,54.523482716247194,54.522317295908906,109.44552423621673,50.1831457463412,20.95429509306186,100.0,0.08,0.6,0.27,1.0,6.025992333036356e-5,-1.0971656713479338e-6,1.0971656713479338e-6,2.948752353404416e-13
91,1.0,19,0.02,0.01985,0.00015000000000000001,0.01,NaN,NaN,0.15,1.0,4.700870087008701,52.22966752575841,57.41735764396648,NaN,NaN,-1.6707471232280113e-5,NaN,NaN,52.22960632317608,52.229650818287176,54.93830426047658,54.93724683305782,107.166897651345,48.73673864126426,15.002816127809648,100.0,0.08,0.6,0.27,1.0,1.6707471232280113e-5,-3.198846943461854e-7,3.198846943461854e-7,3.410605131648481e-13
96,1.0,20,0.02,0.01985,0.00015000000000000001,0.015000000000000001,NaN,NaN,0.15,1.0,4.6653415341534155,49.10536058762772,55.09421283953121,NaN,NaN,0.0001338406998243613,NaN,NaN,49.105472357603084,49.105494428327546,55.68909760820282,55.688837531751766,104.79433196007932,46.85892214765389,9.420136626197628,100.0,0.08,0.6,0.27,1.0,0.0001338406998243613,2.7255822627658898e-6,2.7255822627658898e-6,7.460698725481052e-14
101,1.0,21,0.02,0.01975,0.00025,0.0025,NaN,NaN,0.15,1.0,4.631038103810381,56.128335909320114,59.97749290522221,NaN,NaN,-0.0002702839042854066,NaN,NaN,56.12828642570713,56.12806562541583,54.382055015973876,54.38204603690359,110.51011166231942,50.789981822589894,23.95634432843272,100.0,0.08,0.6,0.27,1.0,0.0002702839042854066,-4.815462634097547e-6,4.815462634097547e-6,1.4921397450962104e-12
106,1.0,22,0.02,0.01975,0.00025,0.005,NaN,NaN,0.15,1.0,4.664116411641164,54.86624667142078,59.2504453473568,NaN,NaN,-8.951818418978519e-5,NaN,NaN,54.866272526887684,54.86615715323659,54.32079959173332,54.31971140381244,109.18586855704903,50.25023648052891,20.35250707154834,100.0,0.08,0.6,0.27,1.0,8.951818418978519e-5,-1.6315711319909588e-6,1.6315711319909588e-6,6.359357485052897e-13
111,1.0,23,0.02,0.01975,0.00025,0.01,NaN,NaN,0.15,1.0,4.695969596959696,52.17294141826351,57.525264117849396,NaN,NaN,7.667475986039562e-5,NaN,NaN,52.17298214147245,52.17301809302337,54.482196829988105,54.48087651540688,106.65389460843025,48.91806181534364,13.912428389004482,100.0,0.08,0.6,0.27,1.0,7.667475986039562e-5,1.4696269325837757e-6,1.4696269325837757e-6,-9.237055564881302e-14
116,1.0,24,0.02,0.01975,0.00025,0.015000000000000001,NaN,NaN,0.15,1.0,4.657990799079908,49.02814726337236,55.17117314728706,NaN,NaN,0.00012528718511362058,NaN,NaN,49.02825056254117,49.028272550557475,55.25731925788639,55.257036864597026,104.2853094151545,47.01359455662007,8.407228143101463,100.0,0.08,0.6,0.27,1.0,0.00012528718511362058,2.555413412638159e-6,2.555413412638159e-6,1.7408297026122455e-13
121,1.0,25,0.02,0.0195,0.0005,0.0025,NaN,NaN,0.15,1.0,4.6065356535653565,55.82752571601974,60.10193054934227,NaN,NaN,-0.00013854058300211136,NaN,NaN,55.827597355606834,55.82738717543674,53.378692738583055,53.37948614115295,109.2068733165897,51.12076326331007,20.842944820031086,100.0,0.08,0.6,0.27,1.0,0.00013854058300211136,-2.4815820014455172e-6,2.4815820014455172e-6,4.476419235288631e-13
126,1.0,26,0.02,0.0195,0.0005,0.005,NaN,NaN,0.15,1.0,4.642064206420642,54.607269810645235,59.411995346409434,NaN,NaN,-0.00012978303832511529,NaN,NaN,54.60728169256568,54.60714002760691,53.28215171261644,53.28153139754341,107.88867142515032,50.61434097415092,17.37866137967079,100.0,0.08,0.6,0.27,1.0,0.00012978303832511529,-2.3766622791278085e-6,2.3766622791278085e-6,4.583000645652646e-13
131,1.0,27,0.02,0.0195,0.0005,0.01,NaN,NaN,0.15,1.0,4.673917391739174,51.930162324767025,57.68638213299975,NaN,NaN,-2.9813819274693287e-5,NaN,NaN,51.93011349285062,51.93013251094775,53.44051744757547,53.43936165259978,105.36949416354753,49.28383961903172,11.170187154708543,100.0,0.08,0.6,0.27,1.0,2.9813819274693287e-5,-5.741137315966794e-7,5.741137315966794e-7,-1.7053025658242404e-13
136,1.0,28,0.02,0.0195,0.0005,0.015000000000000001,NaN,NaN,0.15,1.0,4.6383888388838885,48.82234821144469,55.35113013803919,NaN,NaN,9.798721566056656e-5,NaN,NaN,48.82242249608268,48.82244619866035,54.19086297070251,54.19057314843342,103.01301934709377,47.394442477369964,5.88738445528223,100.0,0.08,0.6,0.27,1.0,9.798721566056656e-5,2.0070156239964894e-6,2.0070156239964894e-6,2.6645352591003757e-13
141,1.0,29,0.02,0.01925,0.00075,0.0025,NaN,NaN,0.15,1.0,4.584483448344835,55.560163400031705,60.26482703252158,NaN,NaN,-0.00016821360846108746,NaN,NaN,55.56019468902935,55.559995186423244,52.342135550225116,52.34318513229082,107.90318031871406,51.490600205031456,17.7839321842278,100.0,0.08,0.6,0.27,1.0,0.00016821360846108746,-3.0275938400316415e-6,3.0275938400316415e-6,3.907985046680551e-14
146,1.0,30,0.02,0.01925,0.00075,0.005,NaN,NaN,0.15,1.0,4.6224622462246225,54.37579458168656,59.60601845372979,NaN,NaN,-0.0001225833333151627,NaN,NaN,54.375836772090615,54.37567199835325,52.2170917320933,52.21675636199552,106.59242836034878,51.01269652524438,14.449370870976598,100.0,0.08,0.6,0.27,1.0,0.0001225833333151627,-2.2543731867864607e-6,2.2543731867864607e-6,-3.552713678800501e-13
151,1.0,31,0.02,0.01925,0.00075,0.01,NaN,NaN,0.15,1.0,4.655540554055405,51.725729951261286,57.892634086353766,NaN,NaN,-3.140667168111122e-5,NaN,NaN,51.72569860333016,51.725698544589605,52.36180335457339,52.36063929453418,104.08633783912379,49.694993232000364,8.464830595007623,100.0,0.08,0.6,0.27,1.0,3.140667168111122e-5,-6.071769641666584e-7,6.071769641666584e-7,-6.750155989720952e-14
156,1.0,32,0.02,0.01925,0.00075,0.015000000000000001,NaN,NaN,0.15,1.0,4.62001200120012,48.62954147457547,55.54865281078133,NaN,NaN,6.570818806039824e-5,NaN,NaN,48.629585032632164,48.62960718276353,53.111818829984074,53.11153813399421,101.74114531675774,47.797385247985574,3.3893945934038605,100.0,0.08,0.6,0.27,1.0,6.570818806039824e-5,1.3511990051304894e-6,1.3511990051304894e-6,1.3145040611561853e-13
