gross_delta,delta,iota,kappa,lambda,sigmah,sigmal,mu_b,m,c,p,vb,debt_diff,eq_deriv,eq_deriv_min_val,eq_min_val,eq_negative,eq_vb,abs_debt_diff,debt_per_diff,abs_debt_per_diff,debt,equity,firm_value,leverage,ROE,V0,r,alpha,pi,xi
0.02,0.02,0.0,0.0025,0.5,0.2,0.15,1.0,1.0,9.5,64.41492438717556,48.798708296306565,2.0366986743908626,7.819127471550166,-0.7683429463148457,0.4957852644893814,false,0.0,2.0366986743908626,0.031618428396329085,0.031618428396329085,66.45162306156642,51.761416364803566,118.21303942636999,56.21344598195226,54.288883959404984,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.5,0.2,0.15,1.0,1.0,9.5,64.41492438717556,50.627325857152755,2.0366986743908626,4.225086949909079,-0.22846513214730552,0.27315505702474613,false,0.0,2.0366986743908626,0.031618428396329085,0.031618428396329085,66.45162306156642,51.79120532503341,118.24282838659983,56.19928410736259,54.377678002361264,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.5,0.2,0.15,1.0,1.0,9.5,64.41492438717556,52.45594341799895,2.0366986743908626,2.332410905542077,0.12188489702055641,0.15401412163073494,false,0.0,2.0366986743908626,0.031618428396329085,0.031618428396329085,66.45162306156642,51.79461503615395,118.24623809772038,56.19766356258188,54.38784156743266,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.5,0.2,0.15,1.0,1.0,9.5,64.41492438717556,54.28456097884515,2.0366986743908626,1.0238259728745183,0.3508463256516782,0.06946615841237104,false,0.0,2.0366986743908626,0.031618428396329085,0.031618428396329085,66.45162306156642,51.76293196205339,118.21455502361982,56.212725284368815,54.29340160642144,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.5,0.2,0.15,1.0,1.0,9.5,64.41492438717556,56.11317853969134,2.0366986743908626,0.08798228225122111,0.08798228225122111,0.007249457118698489,false,0.0,2.0366986743908626,0.031618428396329085,0.031618428396329085,66.45162306156642,51.689607095516116,118.14123015708253,56.247613955950214,54.07483703421623,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.5,0.2,0.15,1.0,1.0,9.5,64.41492438717556,57.94179610053753,2.0366986743908626,-0.5242961748489806,-0.5242961748489806,-0.24714304039566676,true,0.0,2.0366986743908626,0.031618428396329085,0.031618428396329085,66.45162306156642,51.58829741835529,118.0399204799217,56.2958893833461,53.77285617431726,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.5,0.2,0.15,1.0,1.0,9.5,64.41492438717556,59.77041366138373,2.0366986743908626,-0.8892776587246762,-0.8892776587246762,-0.6862723478852343,true,0.0,2.0366986743908626,0.031618428396329085,0.031618428396329085,66.45162306156642,51.46100297780516,117.91262603937159,56.3566645012027,53.39342070778565,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.5,0.2,0.15,1.0,1.0,9.5,64.41492438717556,61.599031222229925,2.0366986743908626,-0.9943516195726076,-0.9943516195726076,-0.8124436486705223,true,0.0,2.0366986743908626,0.031618428396329085,0.031618428396329085,66.45162306156642,51.307073510302224,117.75869657186865,56.43033168341049,52.934592348412515,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.5,0.2,0.15,1.0,1.0,9.5,64.41492438717556,63.427648783076116,2.0366986743908626,-0.8483540916925549,-0.8483540916925549,-0.5807377095806598,true,0.0,2.0366986743908626,0.031618428396329085,0.031618428396329085,66.45162306156642,51.124266039349564,117.57588910091599,56.51806979280476,52.389685298846025,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.5,0.2,0.15,1.0,1.0,9.5,64.41492438717556,65.2562663439223,2.0366986743908626,-0.5169111903947028,-0.5169111903947028,-0.21952918046980305,true,0.0,2.0366986743908626,0.031618428396329085,0.031618428396329085,66.45162306156642,50.90620938026507,117.35783244183149,56.62308316277333,51.739708522071815,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.5,0.2,0.15,1.0,1.0,9.5,64.41492438717556,67.0848839047685,2.0366986743908626,-0.062282784201058344,-0.062282784201058344,-0.002999339784925676,false,0.0,2.0366986743908626,0.031618428396329085,0.031618428396329085,66.45162306156642,50.64039557618445,117.09201863775087,56.75162477738871,50.94737867383974,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.5,0.2,0.15,1.0,1.0,9.5,64.41492438717556,68.9135014656147,2.0351877003374312,0.4611668097328697,0.4611668097328697,0.0357178986103134,false,0.0,2.0351877003374312,0.0315949715023281,0.0315949715023281,66.45011208751299,50.307995725223456,116.75810781273645,56.912631878284294,49.94981758642243,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.5,0.2,0.15,1.0,1.0,9.5,64.41492438717556,70.7421190264609,1.9307537554197296,0.9997756940423058,0.9997756940423058,0.07633842492799893,false,0.0,1.9307537554197296,0.029973702116215254,0.029973702116215254,66.34567814259529,49.88948328220884,116.23516142480413,57.078836841910544,48.24094062448634,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.5,0.2,0.15,1.0,1.0,9.5,64.41492438717556,72.5707365873071,1.7090452643284237,1.5160494220730518,1.0054538661833266,0.11601148063095601,false,0.0,1.7090452643284237,0.026531821322275426,0.026531821322275426,66.12396965150398,49.37117587753104,115.49514552903503,57.25259650405019,45.74073576399118,100.0,0.08,0.6,0.27,1.0
