gross_delta,delta,iota,kappa,lambda,sigmah,sigmal,mu_b,m,c,p,vb,debt_diff,eq_deriv,eq_deriv_min_val,eq_min_val,eq_negative,eq_vb,abs_debt_diff,debt_per_diff,abs_debt_per_diff,debt,equity,firm_value,leverage,ROE,V0,r,alpha,pi,xi
0.02,0.02,0.0,0.003,0.5,0.225,0.15,1.0,1.0,3.0,34.72025492022887,27.36551855590231,0.05751311059042763,1.1280708600026268,-0.2683505954024383,0.043921365802145916,false,0.0,0.05751311059042763,0.0016564714378556906,0.0016564714378556906,34.777768030819296,72.55363173934505,107.33139977016435,32.40223094573552,11.240645327238452,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.003,0.5,0.225,0.15,1.0,1.0,3.0,34.72025492022887,29.74926053739978,0.05751311059042763,-1.3433196028926528,-1.3433196028926528,-1.7988934153209633,true,0.0,0.05751311059042763,0.0016564714378556906,0.0016564714378556906,34.777768030819296,72.52372169418213,107.30148972500143,32.41126299359851,11.194786661780554,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.003,0.5,0.225,0.15,1.0,1.0,3.0,34.72025492022887,32.13300251889725,0.05513304841289823,-1.8960010041531576,-1.8960010041531576,-2.0717229547988323,true,0.0,0.05513304841289823,0.001587921763234992,0.001587921763234992,34.775387968641766,72.46374106630728,107.23912903494904,32.42789108936956,11.098769022142552,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.003,0.5,0.225,0.15,1.0,1.0,3.0,34.72025492022887,34.51674450039472,-0.04008414045124198,-1.5695607509764453,-1.5695607509764453,-1.2974647410216384,true,0.0,0.04008414045124198,-0.0011544886563574156,0.0011544886563574156,34.680170779777626,72.37482457102544,107.05499535080307,32.394724474216204,10.800694727810022,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.003,0.5,0.225,0.15,1.0,1.0,3.0,34.72025492022887,36.900486481892194,-0.07311097737169803,-0.6978845897421095,-0.6978845897421095,-0.28274751614727484,true,0.0,0.07311097737169803,-0.0021057154545573854,0.0021057154545573854,34.64714394285717,72.31079931373709,106.95794325659426,32.39324064014392,10.646731721273838,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.003,0.5,0.225,0.15,1.0,1.0,3.0,34.72025492022887,39.28422846338967,-0.06579288955622076,0.36553530547208407,0.36553530547208407,0.017889571878490225,false,0.0,0.06579288955622076,-0.0018949425834396225,0.0018949425834396225,34.65446203067265,72.29234119335035,106.946803224023,32.403457593848266,10.63087616982168,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.003,0.5,0.225,0.15,1.0,1.0,3.0,34.72025492022887,41.66797044488714,-0.03374750283622774,1.3759496411072152,1.0048777727887659,0.06668445550637629,false,0.0,0.03374750283622774,-0.0009719831525938947,0.0009719831525938947,34.68650741739264,72.31333637470688,106.99984379209951,32.41734397742529,10.717301303779237,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.003,0.5,0.225,0.15,1.0,1.0,3.0,34.72025492022887,44.05171242638461,0.011617469925433,2.2648421505752734,1.0049134080828055,0.11173962598396726,false,0.0,0.011617469925433,0.00033460209183730326,0.00033460209183730326,34.7318723901543,72.35653759224012,107.08840998239441,32.43289576889255,10.860446349506025,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.003,0.5,0.225,0.15,1.0,1.0,3.0,34.72025492022887,46.435454407882084,0.05736633032962857,3.049443538939124,1.0049679042993793,0.15329505867388624,false,0.0,0.05736633032962857,0.0016522439268211002,0.0016522439268211002,34.7776212505585,72.400231290279,107.17785254083749,32.44851471278298,11.005198949293082,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.003,0.5,0.225,0.15,1.0,1.0,3.0,34.72025492022887,47.31105926857434,0.05751311059042763,3.3136879019516736,1.004993975133298,0.16769133232726388,false,0.0,0.05751311059042763,0.0016564714378556906,0.0016564714378556906,34.777768030819296,72.41237839329055,107.19014642410986,32.44493005282141,11.024072938054896,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.003,0.5,0.225,0.15,1.0,1.0,3.0,34.72025492022887,48.819196389379556,0.05751311059042763,3.740563531050486,1.005047980293543,0.19139849250082655,false,0.0,0.05751311059042763,0.0016564714378556906,0.0016564714378556906,34.777768030819296,72.42776193702889,107.20552996784818,32.440274341491,11.04765928779161,100.0,0.08,0.6,0.27,1.0
