gross_delta,delta,iota,kappa,lambda,sigmah,sigmal,mu_b,m,c,p,vb,debt_diff,eq_min_val,eq_vb,abs_debt_diff,debt_per_diff,abs_debt_per_diff,debt,equity,firm_value,leverage,ROE,V0,r,alpha,pi,xi
0.02,0.019,0.001,0.0025,NaN,NaN,0.3,1.0,1.0,0.25,3.03027297729773,3.2789532086838418,1.2064057739458178e-6,8.881784197001252e-16,8.881784197001252e-16,1.2064057739458178e-6,3.981178537326495e-7,3.981178537326495e-7,3.030274183703504,92.70791815871347,95.73819234241697,3.165167536133786,-4.394987839459075,100.0,0.08,0.6,0.27,1.0
0.02,0.019,0.001,0.0025,NaN,NaN,0.3,1.0,1.0,0.5,6.06065601560156,6.558028329374556,-2.0053234068839743e-6,4.440892098500626e-15,4.440892098500626e-15,2.0053234068839743e-6,-3.308756348688654e-7,3.308756348688654e-7,6.060654010278153,90.37556223830148,96.43621624857964,6.2846244347205165,-3.7937072201995936,100.0,0.08,0.6,0.27,1.0
0.02,0.019,0.001,0.0025,NaN,NaN,0.3,1.0,1.0,1.0,12.121502100210021,13.11626719375053,-1.1640512370902911e-5,6.217248937900877e-15,6.217248937900877e-15,1.1640512370902911e-5,-9.60319296624238e-7,9.60319296624238e-7,12.12149045969765,85.52208103505407,97.64357149475173,12.414017916529376,-2.6814616196552343,100.0,0.08,0.6,0.27,1.0
0.02,0.019,0.001,0.0025,NaN,NaN,0.3,1.0,1.0,1.5,18.18148809880988,19.673553360935134,1.323454943502611e-5,8.881784197001252e-15,8.881784197001252e-15,1.323454943502611e-5,7.279134338785182e-7,7.279134338785182e-7,18.181501333359314,80.33707742655258,98.51857875991189,18.45489608378063,-1.810618948318743,100.0,0.08,0.6,0.27,1.0
0.02,0.019,0.001,0.0025,NaN,NaN,0.3,1.0,1.0,2.0,24.243474297429742,26.233055102983386,-4.638741001627977e-5,1.0658141036401503e-14,1.0658141036401503e-14,4.638741001627977e-5,-1.9133977847885315e-6,1.9133977847885315e-6,24.243427910019726,74.73969609508254,98.98312400510227,24.49248612194747,-1.3422940965305719,100.0,0.08,0.6,0.27,1.0
0.02,0.019,0.001,0.0025,NaN,NaN,0.3,1.0,1.0,2.5,30.298999849984998,32.78540053822206,-2.0074422671712e-5,7.105427357601002e-15,7.105427357601002e-15,2.0074422671712e-5,-6.625440698077016e-7,6.625440698077016e-7,30.298979775562326,68.67479997420558,98.97377974976791,30.613137996918194,-1.472317402137946,100.0,0.08,0.6,0.27,1.0
0.02,0.019,0.001,0.0025,NaN,NaN,0.3,1.0,1.0,3.0,36.29503945394539,39.27185477701599,7.454692399733176e-5,1.4210854715202004e-14,1.4210854715202004e-14,7.454692399733176e-5,2.05391494592323e-6,2.05391494592323e-6,36.29511400086939,62.15803243320388,98.45314643407326,36.86536724874865,-2.4281553002823753,100.0,0.08,0.6,0.27,1.0
0.02,0.019,0.001,0.0025,NaN,NaN,0.3,1.0,1.0,3.5,41.95984593459346,45.39140981839054,5.870556638143398e-5,7.105427357601002e-15,7.105427357601002e-15,5.870556638143398e-5,1.3990891785671368e-6,1.3990891785671368e-6,41.95990464015984,55.54243192012045,97.5023365602803,43.0347683147248,-4.303341378463554,100.0,0.08,0.6,0.27,1.0
0.02,0.019,0.001,0.0025,NaN,NaN,0.3,1.0,1.0,4.0,46.75400390039004,50.54656782682658,0.0001135505257963132,3.197442310920451e-14,3.197442310920451e-14,0.0001135505257963132,2.4286802481822506e-6,2.4286802481822506e-6,46.754117450915835,49.682048944290514,96.43616639520636,48.48193286667178,-6.693162802792063,100.0,0.08,0.6,0.27,1.0
0.02,0.019,0.001,0.0025,NaN,NaN,0.3,1.0,1.0,4.5,50.45213211321133,54.48767926681239,9.419510827513022e-5,2.842170943040401e-14,2.842170943040401e-14,9.419510827513022e-5,1.867019377174437e-6,1.867019377174437e-6,50.4522263083196,45.10226120074,95.55448750905961,52.79943163688275,-8.972174044798397,100.0,0.08,0.6,0.27,1.0
0.02,0.019,0.001,0.0025,NaN,NaN,0.3,1.0,1.0,5.0,53.27457310731073,57.45881241922065,2.5752253847599604e-5,1.7763568394002505e-14,1.7763568394002505e-14,2.5752253847599604e-5,4.833873336859398e-7,4.833873336859398e-7,53.27459885956458,41.6448107906867,94.91940965025128,56.126138011040126,-10.873294237707597,100.0,0.08,0.6,0.27,1.0
0.02,0.019,0.001,0.0025,NaN,NaN,0.3,1.0,1.0,5.5,55.49837473747374,59.766846724582756,0.0003884031069532057,2.1316282072803006e-14,2.1316282072803006e-14,0.0003884031069532057,6.998459122280337e-6,6.998459122280337e-6,55.49876314058069,38.9850558682914,94.48381900887209,58.738907595775025,-12.395567809842422,100.0,0.08,0.6,0.27,1.0
0.02,0.019,0.001,0.0025,NaN,NaN,0.3,1.0,1.0,6.0,57.32509740974098,61.635045938854944,0.0003453449387365026,2.842170943040401e-14,2.842170943040401e-14,0.0003453449387365026,6.024323626841667e-6,6.024323626841667e-6,57.32544275467971,36.8619531759921,94.18739593067181,60.86317833532105,-13.620771824095723,100.0,0.08,0.6,0.27,1.0
0.02,0.019,0.001,0.0025,NaN,NaN,0.3,1.0,1.0,6.5,58.870291929192916,63.19140299106929,0.0005175075565659881,2.1316282072803006e-14,2.1316282072803006e-14,0.0005175075565659881,8.79064022968372e-6,8.79064022968372e-6,58.87080943674948,35.12252273787411,93.99333217462359,62.63296350359997,-14.604391049561405,100.0,0.08,0.6,0.27,1.0
0.02,0.019,0.001,0.0025,NaN,NaN,0.3,1.0,1.0,7.0,60.218526752675274,64.52959238646066,-0.0007252578521104169,-7.105427357601002e-15,-7.105427357601002e-15,0.0007252578521104169,-1.2043766116848692e-5,1.2043766116848692e-5,60.21780149482316,33.64977538028273,93.8675768751059,64.1518653186766,-15.414993025325375,100.0,0.08,0.6,0.27,1.0
0.02,0.019,0.001,0.0025,NaN,NaN,0.3,1.0,1.0,7.5,61.39878477847785,65.68171780480326,0.000788331787397567,2.842170943040401e-14,2.842170943040401e-14,0.000788331787397567,1.2839534043577707e-5,1.2839534043577707e-5,61.399573110265244,32.40865368932343,93.80822679958868,65.45222653172938,-16.040685814430567,100.0,0.08,0.6,0.27,1.0
0.02,0.019,0.001,0.0025,NaN,NaN,0.3,1.0,1.0,8.0,62.463696319631964,66.70607661508605,0.0013443669572055228,1.4210854715202004e-14,1.4210854715202004e-14,0.0013443669572055228,2.1522372776761152e-5,2.1522372776761152e-5,62.46504068658917,31.32228637497043,93.78732706155961,66.60285844972286,-16.551697542990752,100.0,0.08,0.6,0.27,1.0
0.02,0.019,0.001,0.0025,NaN,NaN,0.3,1.0,1.0,8.5,63.437545154515455,67.62956739166673,0.00045753604268128356,7.105427357601002e-15,7.105427357601002e-15,0.00045753604268128356,7.212385686849302e-6,7.212385686849302e-6,63.438002690558136,30.356752823649643,93.79475551420778,67.63491449257918,-16.971842192520924,100.0,0.08,0.6,0.27,1.0
0.02,0.019,0.001,0.0025,NaN,NaN,0.3,1.0,1.0,9.0,64.32989283928393,68.46278124706595,0.00013347498767757315,2.1316282072803006e-14,2.1316282072803006e-14,0.00013347498767757315,2.074851702474232e-6,2.074851702474232e-6,64.3300263142716,29.500699637685848,93.83072595195745,68.55965960149281,-17.29542640652656,100.0,0.08,0.6,0.27,1.0
0.02,0.019,0.001,0.0025,NaN,NaN,0.3,1.0,1.0,9.5,65.15127497749775,69.2173882233736,0.001425493573009362,7.105427357601002e-15,7.105427357601002e-15,0.001425493573009362,2.1879749452358465e-5,2.1879749452358465e-5,65.15270047107076,28.740307021238692,93.89300749230945,69.3903648537483,-17.525009370154198,100.0,0.08,0.6,0.27,1.0
0.02,0.019,0.001,0.0025,NaN,NaN,0.3,1.0,1.0,10.0,65.93079292929293,69.92562321778523,-0.001997370958193301,2.842170943040401e-14,2.842170943040401e-14,0.001997370958193301,-3.029496339192172e-5,3.029496339192172e-5,65.92879555833474,28.030087286325845,93.9588828446606,70.16770906837286,-17.730858812704042,100.0,0.08,0.6,0.27,1.0
0.02,0.019,0.001,0.0025,NaN,NaN,0.3,1.0,1.0,10.5,66.64360421042105,70.55996879049432,0.0012524900911330406,2.1316282072803006e-14,2.1316282072803006e-14,0.0012524900911330406,1.8793852853132288e-5,1.8793852853132288e-5,66.64485670051218,27.413623741069266,94.05848044158145,70.85470272072327,-17.812903710444527,100.0,0.08,0.6,0.27,1.0
0.02,0.019,0.001,0.0025,NaN,NaN,0.3,1.0,1.0,11.0,67.33349319931993,71.16892387526606,-0.0025018581242619575,-7.105427357601002e-15,-7.105427357601002e-15,0.0025018581242619575,-3.715622055811039e-5,3.715622055811039e-5,67.33099134119567,26.819670627390153,94.15066196858582,71.51409234240035,-17.904853166818626,100.0,0.08,0.6,0.27,1.0
