gross_delta,delta,iota,kappa,lambda,sigmah,sigmal,mu_b,m,c,p,vb,debt_diff,eq_deriv,eq_deriv_min_val,eq_min_val,eq_negative,eq_vb,abs_debt_diff,debt_per_diff,abs_debt_per_diff,debt,equity,firm_value,leverage,ROE,V0,r,alpha,pi,xi,opt
0.02,0.02,0.0,0.005,0.2,0.225,0.15,1.0,1.0,1.5,16.673910812133844,18.49101570194448,0.04021540710816751,1.1449174941446927e-15,0.005683303975282876,-0.0019429386906997044,false,-1.7117322729013618e-7,0.04021540710816751,0.0024118761076077117,0.0024118761076077117,16.71412621924201,87.2244284309567,103.93855465019871,16.080776065717647,4.728958791459159,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.005,0.2,0.225,0.15,1.0,1.0,1.5,16.952583416236358,18.817290396751865,0.028699242976337302,1.0477729794899915e-15,0.005208033597957365,-0.002126821138475317,false,-2.474237177717412e-7,0.028699242976337302,0.0016929126535870967,0.0016929126535870967,16.981282659212695,86.93606980393605,103.91735246314875,16.3411425105683,4.718637662237324,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.005,0.2,0.225,0.15,1.0,1.0,1.5,17.231256020338876,19.143573052872775,0.017183078844286825,3.677613769070831e-16,0.004751293794431878,-0.0022966544317223345,false,1.3354955530723767e-6,0.017183078844286825,0.0009972040821635297,0.0009972040821635297,17.248439099183162,86.64752782093322,103.89596692011638,16.601644520470323,4.708028317176938,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.005,0.2,0.225,0.15,1.0,1.0,1.5,17.50992862444139,19.469861194584663,0.005666914712595172,9.783840404509192e-16,0.004291699160742492,-0.0024712518671968983,false,1.5763271875966992e-6,0.005666914712595172,0.00032364008067314214,0.00032364008067314214,17.515595539153985,86.3587972135934,103.87439275274738,16.86228441387515,4.697121568703944,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.005,0.2,0.225,0.15,1.0,1.0,1.5,17.647050850512294,19.63042251579676,3.2946397547157147e-7,4.2754749486905764e-16,0.004077799395559721,-0.0025436690255705025,false,5.96864482144277e-7,3.2946397547157147e-7,1.844035080864176e-8,1.844035080864176e-8,17.64705117997627,86.21665491884958,103.86370609882586,16.99058491441195,4.691642684550001,100.0,0.08,0.6,0.27,1.0,true
0.02,0.02,0.0,0.005,0.2,0.225,0.15,1.0,1.0,1.5,17.788601228543904,19.796172238448815,-0.005849249419586755,-1.457167719820518e-16,0.0038618217243292646,-0.0026281893411463633,false,-3.999794775917364e-7,0.005849249419586755,-0.0003288200878999382,0.0003288200878999382,17.782751979124317,86.06987245948876,103.85262443861308,17.123064607419373,4.685907800799738,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.005,0.2,0.225,0.15,1.0,1.0,1.5,18.06727383264642,20.122482393952318,-0.017365413551367226,4.926614671774132e-16,0.003434373793287114,-0.002861582464114169,false,-4.5303208506329837e-7,0.017365413551367226,-0.0009611529504793923,0.0009611529504793923,18.049908419095054,85.78074888594183,103.83065730503688,17.38398743452763,4.674378308967597,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.005,0.2,0.225,0.15,1.0,1.0,1.5,18.345946436748935,20.44879636450277,-0.028881578660019613,-8.326672684688674e-17,0.003024116712704375,-0.0030716283674408207,false,-5.060973315852968e-7,0.028881578660019613,-0.001574275754025241,0.001574275754025241,18.317064858088916,85.49142084051559,103.8084856986045,17.6450554449569,4.662523074113167,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.005,0.2,0.225,0.15,1.0,1.0,1.5,18.624619040851453,20.77512146840296,-0.040397743018761645,-6.245004513516506e-17,0.0026252928666395253,-0.0032562296465086047,false,-2.6276272850066233e-7,0.040397743018761645,-0.002169050702736672,0.002169050702736672,18.58422129783269,85.20188261288915,103.78610391072183,17.90627126134254,4.650331878016001,100.0,0.08,0.6,0.27,1.0,false
