gross_delta,delta,iota,kappa,lambda,sigmah,sigmal,mu_b,m,c,p,vb,debt_diff,eq_deriv,eq_deriv_min_val,eq_min_val,eq_negative,eq_vb,abs_debt_diff,debt_per_diff,abs_debt_per_diff,debt,equity,firm_value,leverage,ROE,V0,r,alpha,pi,xi,opt
0.02,0.02,0.0,0.004,0.3,0.225,0.15,1.0,1.0,2.0,22.872418820829452,25.38907217739785,0.03829607364400189,7.632783294297951e-17,0.009023701957599599,-0.008452177906929984,true,-1.8371153369949362e-7,0.03829607364400189,0.001674334225164084,0.001674334225164084,22.910714894473454,82.40025585174202,105.31097074621547,21.75529741311096,6.88937605134794,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.004,0.3,0.225,0.15,1.0,1.0,2.0,23.248403787747197,25.82903505072582,0.022904972431213366,1.096345236817342e-15,0.007427300272236655,-0.005335946182992874,true,9.958190798165704e-7,0.022904972431213366,0.0009852277446800526,0.0009852277446800526,23.27130876017841,82.00443148296019,105.2757402431386,22.105101048382444,6.8758376532825904,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.004,0.3,0.225,0.15,1.0,1.0,2.0,23.624388754664942,26.267602877722517,0.007519602035593209,5.898059818321144e-16,0.008035960626243212,-0.009002825671755824,true,-1.7032046164931825e-6,0.007519602035593209,0.00031829826852592606,0.00031829826852592606,23.631908356700535,81.60781302932388,105.23972138602441,22.455312543082044,6.861139611158729,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.004,0.3,0.225,0.15,1.0,1.0,2.0,23.808423956774188,26.48257540194282,1.9090916315996857e-7,6.556420213189652e-16,0.007908520258062872,-0.009406941786350561,true,-1.3273169619947381e-6,1.9090916315996857e-7,1.0912405850711795e-8,1.0912405850711795e-8,23.808424147683347,81.41323524990395,105.2216593975873,22.626923281756632,6.853329044812684,100.0,0.08,0.6,0.27,1.0,true
0.02,0.02,0.0,0.004,0.3,0.225,0.15,1.0,1.0,2.0,24.000373721582683,26.706894382692788,-0.00782339201420612,7.424616477180734e-16,0.007568041789680874,-0.009258109890500578,true,-4.1338713376406247e-7,0.00782339201420612,-0.0003259695913472723,0.0003259695913472723,23.992550329568477,81.21036743285147,105.20291776241994,22.80597424469816,6.8452734369852,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.004,0.3,0.225,0.15,1.0,1.0,2.0,24.376358688500428,27.146016428362092,-0.023087437117965237,2.498001805406602e-16,0.007072560124828611,-0.009735231328664275,true,-1.0849792016075325e-7,0.023087437117965237,-0.0009471241136953223,0.0009471241136953223,24.353271251382463,80.81373049083652,105.16700174221899,23.15676100672357,6.830436461290357,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.004,0.3,0.225,0.15,1.0,1.0,2.0,24.752343655418173,27.5859747199177,-0.038384674372856864,7.771561172376096e-16,0.005769461031229141,-0.006252887348525606,true,2.069979103464589e-6,0.038384674372856864,-0.0015507490889435287,0.0015507490889435287,24.713958981045316,80.41458954101354,105.12854852205885,23.50832321808348,6.81208422258206,100.0,0.08,0.6,0.27,1.0,false
