gross_delta,delta,iota,kappa,lambda,sigmah,sigmal,mu_b,m,c,p,vb,debt_diff,eq_deriv,eq_deriv_min_val,eq_min_val,eq_negative,eq_vb,abs_debt_diff,debt_per_diff,abs_debt_per_diff,debt,equity,firm_value,leverage,ROE,V0,r,alpha,pi,xi,opt
0.02,0.02,0.0,0.004,0.5,0.25,0.15,1.0,1.0,4.5,51.59390675909696,57.96101426897026,0.08077025561900086,1.1102230246251565e-16,-0.005796321696585782,-0.02234882575378663,true,1.9142516994742736e-9,0.08077025561900086,0.0015654998950968095,0.0015654998950968095,51.67467701471596,52.96606660319408,104.64074361791003,49.38294131720167,9.603130059416753,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.004,0.5,0.25,0.15,1.0,1.0,4.5,52.50356614608829,59.0288943929907,0.043604504382756204,4.440892098500626e-16,-0.005945006828289245,-0.02231589150642142,true,-2.5094314032143677e-6,0.043604504382756204,0.000830505574829509,0.000830505574829509,52.547170650471045,51.65317234755536,104.2003429980264,50.42898049910096,8.851617607640305,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.004,0.5,0.25,0.15,1.0,1.0,4.5,53.41322553307962,60.096822382642756,0.006608131748770063,8.881784197001252e-16,-0.006082862090158403,-0.022247067078078754,true,-1.7456780221383401e-6,0.006608131748770063,0.00012371714463635128,0.00012371714463635128,53.41983366482839,50.32401595617374,103.74384962100213,51.49204879130874,8.037432915251808,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.004,0.5,0.25,0.15,1.0,1.0,4.5,53.576028901603145,60.28802659974895,1.830433371526478e-7,6.861699248634194e-16,-0.006101055533754062,-0.02221089789724742,true,-1.543520536922176e-6,1.830433371526478e-7,9.096448338862599e-10,9.096448338862599e-10,53.57602908464648,50.08435490638554,103.66038399103202,51.68418929384006,7.884685258195878,100.0,0.08,0.6,0.27,1.0,true
0.02,0.02,0.0,0.004,0.5,0.25,0.15,1.0,1.0,4.5,54.32288492007095,61.16527376372518,-0.030369191301701903,-3.885780586188048e-16,-0.0061721975638195925,-0.022019873913672716,true,-1.1214901489756164e-6,0.030369191301701903,-0.0005590496776153588,0.0005590496776153588,54.292515728769246,48.97779232132158,103.27030805009082,52.57320981596656,7.154863371356512,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.004,0.5,0.25,0.15,1.0,1.0,4.5,55.232544307062284,62.233294947003834,-0.067749744710774,7.494005416219807e-16,-0.006279844897499054,-0.02195909717837514,true,-2.0355698003103514e-6,0.067749744710774,-0.001226627264065965,0.001226627264065965,55.16479456235151,47.61374584536664,102.77854040771814,53.67345590189848,6.197229120723469,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.004,0.5,0.25,0.15,1.0,1.0,4.5,56.14220369405361,63.301355605332,-0.10556084945925193,-2.7755575615628914e-17,-0.00637275883290242,-0.021918959942874124,true,-1.7159792677396245e-6,0.10556084945925193,-0.0018802405768484746,0.0018802405768484746,56.03664284459436,46.23085762595288,102.26750047054725,54.794184454261455,5.157705455777362,100.0,0.08,0.6,0.27,1.0,false
