gross_delta,delta,iota,kappa,lambda,sigmah,sigmal,mu_b,m,c,p,vb,debt_diff,eq_min_val,eq_vb,abs_debt_diff,debt_per_diff,abs_debt_per_diff,debt,equity,firm_value,leverage,ROE,V0,r,alpha,pi,xi
0.02,0.01925,0.00075,0.015000000000000001,NaN,NaN,0.15,1.0,1.0,0.25,2.6316331133113313,3.006082693669752,-2.4935519578050958e-6,3.9968028886505635e-15,3.9968028886505635e-15,2.4935519578050958e-6,-9.475302408957414e-7,9.475302408957414e-7,2.6316306197593735,93.96868863448464,96.60031925424401,2.724246296570864,-3.491565862091861,100.0,0.08,0.6,0.27,1.0
0.02,0.01925,0.00075,0.015000000000000001,NaN,NaN,0.15,1.0,1.0,0.5,5.263136263626363,6.0120052461230316,9.95797266867271e-7,1.0658141036401503e-14,1.0658141036401503e-14,9.95797266867271e-7,1.8920225830922244e-7,1.8920225830922244e-7,5.26313725942363,91.68752409066981,96.95066135009344,5.428675974079425,-3.218745651581001,100.0,0.08,0.6,0.27,1.0
0.02,0.01925,0.00075,0.015000000000000001,NaN,NaN,0.15,1.0,1.0,1.0,10.525802530253026,12.023431359004958,2.362810404044069e-5,1.6431300764452317e-14,1.6431300764452317e-14,2.362810404044069e-5,2.244779338442776e-6,2.244779338442776e-6,10.525826158357066,87.12554123047181,97.65136738882887,10.778984913181256,-2.6249279656137214,100.0,0.08,0.6,0.27,1.0
0.02,0.01925,0.00075,0.015000000000000001,NaN,NaN,0.15,1.0,1.0,1.5,15.789627062706272,18.036284694279022,-7.060843543627016e-6,2.6645352591003757e-14,2.6645352591003757e-14,7.060843543627016e-6,-4.471824138458669e-7,4.471824138458669e-7,15.789620001862728,82.56174125514097,98.3513612570037,16.05429736819055,-1.9577619089627296,100.0,0.08,0.6,0.27,1.0
0.02,0.01925,0.00075,0.015000000000000001,NaN,NaN,0.15,1.0,1.0,2.0,21.0521901190119,24.04758363075818,2.0322793758964508e-5,4.440892098500626e-14,4.440892098500626e-14,2.0322793758964508e-5,9.65352946371661e-7,9.65352946371661e-7,21.05221044180566,77.99659185794516,99.04880229975082,21.2543816310827,-1.2048439931912625,100.0,0.08,0.6,0.27,1.0
0.02,0.01925,0.00075,0.015000000000000001,NaN,NaN,0.15,1.0,1.0,2.5,26.316996599659966,30.061646928736316,-5.557055186855564e-5,4.973799150320701e-14,4.973799150320701e-14,5.557055186855564e-5,-2.1115841109799608e-6,2.1115841109799608e-6,26.316941029108097,73.41907058741042,99.73601161651851,26.386598584166187,-0.35827554823121277,100.0,0.08,0.6,0.27,1.0
0.02,0.01925,0.00075,0.015000000000000001,NaN,NaN,0.15,1.0,1.0,3.0,31.578960746074614,36.07220788470386,-6.158463001781911e-7,5.5067062021407764e-14,5.5067062021407764e-14,6.158463001781911e-7,-1.9501791244182828e-8,1.9501791244182828e-8,31.578960130228314,68.81813877033969,100.397098900568,31.454056418008363,0.5803754244656512,100.0,0.08,0.6,0.27,1.0
0.02,0.01925,0.00075,0.015000000000000001,NaN,NaN,0.15,1.0,1.0,3.5,36.84144399439944,42.08340848129017,3.044113653771774e-5,7.105427357601002e-14,7.105427357601002e-14,3.044113653771774e-5,8.262742508774991e-7,8.262742508774991e-7,36.84147443553598,64.15597022130561,100.9974446568416,36.47763026154972,1.57927159940352,100.0,0.08,0.6,0.27,1.0
0.02,0.01925,0.00075,0.015000000000000001,NaN,NaN,0.15,1.0,1.0,4.0,42.10739058905891,48.098876634880305,-9.811574668106005e-5,7.815970093361102e-14,7.815970093361102e-14,9.811574668106005e-5,-2.330131250321511e-6,2.330131250321511e-6,42.10729247331223,59.367609373612346,101.47490184692458,41.49527785385917,2.547647035241285,100.0,0.08,0.6,0.27,1.0
0.02,0.01925,0.00075,0.015000000000000001,NaN,NaN,0.15,1.0,1.0,4.5,47.36685213521352,54.10635387116303,5.839981709954145e-5,9.592326932761353e-14,9.592326932761353e-14,5.839981709954145e-5,1.23292586412188e-6,1.23292586412188e-6,47.36691053503062,54.36275211709305,101.72966265212366,46.56155274691831,3.286264723781551,100.0,0.08,0.6,0.27,1.0
0.02,0.01925,0.00075,0.015000000000000001,NaN,NaN,0.15,1.0,1.0,5.0,52.623357135713576,60.110188033408065,-4.6784207839323244e-5,1.0658141036401503e-13,1.0658141036401503e-13,4.6784207839323244e-5,-8.890388296335524e-7,8.890388296335524e-7,52.62331035150574,48.97884648500072,101.60215683650645,51.79349729374817,3.381740785169818,100.0,0.08,0.6,0.27,1.0
0.02,0.01925,0.00075,0.015000000000000001,NaN,NaN,0.15,1.0,1.0,5.5,57.75809060906091,65.96397455866986,0.00011721378940876548,1.0302869668521453e-13,1.0302869668521453e-13,0.00011721378940876548,2.0293916951329647e-6,2.0293916951329647e-6,57.758207822850316,43.160998426245506,100.91920624909582,57.23212653921146,2.176058831123795,100.0,0.08,0.6,0.27,1.0
0.02,0.01925,0.00075,0.015000000000000001,NaN,NaN,0.15,1.0,1.0,6.0,62.25433518351835,71.0310110713585,2.076185840138578e-5,1.2434497875801753e-13,1.2434497875801753e-13,2.076185840138578e-5,3.335006042580376e-7,3.335006042580376e-7,62.25435594537675,37.537127564124894,99.79148350950165,62.384437785664545,-0.5524253081934494,100.0,0.08,0.6,0.27,1.0
0.02,0.01925,0.00075,0.015000000000000001,NaN,NaN,0.15,1.0,1.0,6.5,65.52922267226724,74.59308374801462,0.0002455570599551038,1.5631940186722204e-13,1.5631940186722204e-13,0.0002455570599551038,3.747290902308025e-6,3.747290902308025e-6,65.5294682293272,33.27959321170013,98.80906144102732,66.31929022869775,-3.4549468714199394,100.0,0.08,0.6,0.27,1.0
0.02,0.01925,0.00075,0.015000000000000001,NaN,NaN,0.15,1.0,1.0,7.0,67.8308499849985,76.95589915167798,0.0003640353008620423,1.7408297026122455e-13,1.7408297026122455e-13,0.0003640353008620423,5.366810248471787e-6,5.366810248471787e-6,67.83121402029936,30.379400888953935,98.2106149092533,69.06709023558754,-5.562488717714931,100.0,0.08,0.6,0.27,1.0
0.02,0.01925,0.00075,0.015000000000000001,NaN,NaN,0.15,1.0,1.0,7.5,69.57150185018502,78.62747710207253,-0.000597695845002022,1.5987211554602254e-13,1.5987211554602254e-13,0.000597695845002022,-8.59110165954298e-6,8.59110165954298e-6,69.57090415434001,28.329981799297855,97.90088595363787,71.0625889404986,-6.898377976818926,100.0,0.08,0.6,0.27,1.0
0.02,0.01925,0.00075,0.015000000000000001,NaN,NaN,0.15,1.0,1.0,8.0,70.97002170217021,79.87747784704376,0.00010491110799648595,1.9539925233402755e-13,1.9539925233402755e-13,0.00010491110799648595,1.478245398271843e-6,1.478245398271843e-6,70.97012661327821,26.826320503184675,97.79644711646289,72.56922792784282,-7.590638974488306,100.0,0.08,0.6,0.27,1.0
0.02,0.01925,0.00075,0.015000000000000001,NaN,NaN,0.15,1.0,1.0,8.5,72.16203585358537,80.87302097685148,-8.859994136400928e-5,2.2737367544323206e-13,2.2737367544323206e-13,8.859994136400928e-5,-1.2277915986707463e-6,1.2277915986707463e-6,72.161947253644,25.654910313919814,97.81685756756382,73.77250613862797,-7.842295768054242,100.0,0.08,0.6,0.27,1.0
0.02,0.01925,0.00075,0.015000000000000001,NaN,NaN,0.15,1.0,1.0,9.0,73.21406105610562,81.69606884872336,-0.0015660323523860598,2.2737367544323206e-13,2.2737367544323206e-13,0.0015660323523860598,-2.138977581350081e-5,2.138977581350081e-5,73.21249502375323,24.710178939925605,97.92267396367885,74.76562072938181,-7.754832106100151,100.0,0.08,0.6,0.27,1.0
0.02,0.01925,0.00075,0.015000000000000001,NaN,NaN,0.15,1.0,1.0,9.5,74.15685533553356,82.38452169432982,-0.001188549628494684,2.4513724383723456e-13,2.4513724383723456e-13,0.001188549628494684,-1.60275084901715e-5,1.60275084901715e-5,74.15566678590507,23.947682064924933,98.10334885083,75.5893327338516,-7.338750562678886,100.0,0.08,0.6,0.27,1.0
0.02,0.01925,0.00075,0.015000000000000001,NaN,NaN,0.15,1.0,1.0,10.0,75.02315691569157,82.97871975772006,-0.0011441860009426819,3.019806626980426e-13,3.019806626980426e-13,0.0011441860009426819,-1.5251104432041943e-5,1.5251104432041943e-5,75.02201272969063,23.310174135258812,98.33218686494945,76.29446178465116,-6.677131816113302,100.0,0.08,0.6,0.27,1.0
0.02,0.01925,0.00075,0.015000000000000001,NaN,NaN,0.15,1.0,1.0,10.5,75.82431703170316,83.49265010177271,0.0013147581469894476,3.090860900556436e-13,3.090860900556436e-13,0.0013147581469894476,1.7339531676094486e-5,1.7339531676094486e-5,75.82563178985015,22.782717521051755,98.6083493109019,76.89575205318548,-5.756719997810733,100.0,0.08,0.6,0.27,1.0
0.02,0.01925,0.00075,0.015000000000000001,NaN,NaN,0.15,1.0,1.0,11.0,76.58312896289628,83.95439874776247,0.0011919516445715317,3.055333763768431e-13,3.055333763768431e-13,0.0011919516445715317,1.5564154412508003e-5,1.5564154412508003e-5,76.58432091454085,22.320584900461842,98.90490581500269,77.43227728034896,-4.676756035990193,100.0,0.08,0.6,0.27,1.0
0.02,0.01925,0.00075,0.015000000000000001,NaN,NaN,0.15,1.0,1.0,11.5,77.31010056005601,84.37691353511406,-0.003349140834572495,3.552713678800501e-13,3.552713678800501e-13,0.003349140834572495,-4.332087023959846e-5,4.332087023959846e-5,77.30675141922144,21.904298924743532,99.21105034396497,77.92151292743978,-3.476583148625423,100.0,0.08,0.6,0.27,1.0
0.02,0.01925,0.00075,0.015000000000000001,NaN,NaN,0.15,1.0,1.0,12.0,77.99154870487048,84.7433340399068,-0.00038558075154071503,3.765876499528531e-13,3.765876499528531e-13,0.00038558075154071503,-4.943878637412363e-6,4.943878637412363e-6,77.99116312411894,21.57168696364013,99.56285008775907,78.3335983806953,-1.9862472274488563,100.0,0.08,0.6,0.27,1.0
0.02,0.01925,0.00075,0.015000000000000001,NaN,NaN,0.15,1.0,1.0,12.5,78.6549099909991,85.08746780436118,-0.003381684966541343,4.192202140984591e-13,4.192202140984591e-13,0.003381684966541343,-4.299394617485834e-5,4.299394617485834e-5,78.65152830603256,21.26022374124745,99.91175204728,78.72099797510634,-0.4133689473655666,100.0,0.08,0.6,0.27,1.0
